docid	date	url	title	wiki_md5	text_md5
2018-01-03_00_Scaffolding	2018-01-03	https://en.wikinews.org/wiki/Scaffolding_collapses_in_Copenhagen	Scaffolding collapses in Copenhagen	75ba2fbbb03e7e64924b7a0c3463da0a	123882c63adc3dad721053918b3d2482
2018-01-04_00_England	2018-01-04	https://en.wikinews.org/wiki/England:_Multi-storey_carpark_in_Liverpool_gutted_by_fire,_1,300_vehicles_destroyed	England: Multi-storey carpark in Liverpool gutted by fire, 1,300 vehicles destroyed	4c0ede337986aa1b9f83432fb4b3ea69	39c0f96be8d777b3ec94d8f4235b31fe
2018-01-04_01_Tennis	2018-01-04	https://en.wikinews.org/wiki/Tennis:_Andy_Murray_withdraws_from_Australian_Open	Tennis: Andy Murray withdraws from Australian Open	b7164d49c8e52021527f1f4efb6cbfed	6f5f0da9b6ab5a4f625f7730deb0681b
2018-01-06_00_Mysterious	2018-01-06	https://en.wikinews.org/wiki/Mysterious_dimming_of_Tabby%27s_star_likely_due_to_space_dust,_not_alien_superstructures,_say_scientists	Mysterious dimming of Tabby's star likely due to space dust, not alien superstructures, say scientists	d6a89d369d8da7fdba4494061e457592	2fdd104771ae354eb0950e9fb5300723
2018-01-08_00_Saudi	2018-01-08	https://en.wikinews.org/wiki/Saudi_Arabia:_Princes_arrested_after_protesting_austerity	Saudi Arabia: Princes arrested after protesting austerity	bf58183be28b5290ff83be61b640d01c	aa77dc0973736b139d4655a482494d19
2018-01-10_00_Israel	2018-01-10	https://en.wikinews.org/wiki/Israel_issues_travel_ban_on_20_non-government_organizations_over_pro-Palestinian_boycotts	Israel issues travel ban on 20 non-government organizations over pro-Palestinian boycotts	87a5ee6597d16bc0bebe3b062a0ee3a2	3bd7f15c6f648d7e1871f10b9f642219
2018-01-11_00_United	2018-01-11	https://en.wikinews.org/wiki/United_States:_At_least_fifteen_dead_in_Southern_California_after_rain_causes_mudslides_and_floods	United States: At least fifteen dead in Southern California after rain causes mudslides and floods	5fb346fb59177512d458d6f44b3467ab	b04b29c7cf4abe571fb9cd41461ba9de
2018-01-15_00_Turkey	2018-01-15	https://en.wikinews.org/wiki/Turkey:_Aircraft_skids_off_runway_toward_Black_Sea	Turkey: Aircraft skids off runway toward Black Sea	49b5cb0b3e877881cbced8ddc6e8a4e6	4278204f7764cdad0dac9724828b6e70
2018-01-16_00_Airborne	2018-01-16	https://en.wikinews.org/wiki/Airborne_sedan_smashes_into_dental_office_in_Santa_Ana,_California,_US	Airborne sedan smashes into dental office in Santa Ana, California, US	d65af5f5457ce7de7760c3185f336db4	dc87b257016673fc3255586618912910
2018-01-16_01_United	2018-01-16	https://en.wikinews.org/wiki/United_States:_State_of_Hawaii_criticized_by_head_of_Federal_Communications_Commission_over_incoming_missile_alert_mistake	United States: State of Hawaii criticized by head of Federal Communications Commission over incoming missile alert mistake	4e117a6714aeb4a8bcbe03eabfc6b60e	16382e12fddafa6aa2dbdb5ed999809e
2018-01-16_02_BBC	2018-01-16	https://en.wikinews.org/wiki/BBC_newsreader_Alagiah_to_undergo_treatment_for_bowel_cancer	BBC newsreader Alagiah to undergo treatment for bowel cancer	7d901b87a02c225a238aa2125bb2f858	b4ac16b05afd9539ce51f0f1bc84a8c9
2018-01-17_00_United	2018-01-17	https://en.wikinews.org/wiki/United_States:_One_person_dead_after_boat_to_offshore_casino_burns_off_Florida_coast	United States: One person dead after boat to offshore casino burns off Florida coast	7b94c1381e25b2467f8dc98a276210a0	0ec2efebaef1d55eec18cd4645acf0a4
2018-01-17_01_British	2018-01-17	https://en.wikinews.org/wiki/British_surfers_catch_more_than_waves:_Scientists_find_antibiotic-resistant_bacteria	British surfers catch more than waves: Scientists find antibiotic-resistant bacteria	a56c0b47adfee0ec8d4b9e54416bc49c	3511212b49e9fc53747994581739e56e
2018-01-18_00_Irish	2018-01-18	https://en.wikinews.org/wiki/Irish_rock_band_The_Cranberries%27_lead_singer_Dolores_O%27Riordan_dies_at_46	Irish rock band The Cranberries' lead singer Dolores O'Riordan dies at 46	601b1dd1995e18e53028614d8980a1e0	fb0e23527e06a7ba03063f9dfc9a4596
2018-01-19_00_Zimbabwean	2018-01-19	https://en.wikinews.org/wiki/Zimbabwean_politician_Bennett_and_four_others_die_in_New_Mexico_helicopter_crash	Zimbabwean politician Bennett and four others die in New Mexico helicopter crash	0b44c568e5f94214d04deeb419978d07	ad348d4b61097677b588c0e85edd556c
