docid	position	length	mention	url
2018-01-03_00_Scaffolding	31	10	Copenhagen	https://en.wikipedia.org/wiki/Copenhagen
2018-01-03_00_Scaffolding	43	7	Denmark	https://en.wikipedia.org/wiki/Denmark
2018-01-03_00_Scaffolding	122	11	Randersgade	https://en.wikipedia.org/wiki/Randersgade
2018-01-03_00_Scaffolding	192	3	UTC	https://en.wikipedia.org/wiki/UTC
2018-01-03_00_Scaffolding	424	17	Copenhagen Police	https://en.wikipedia.org/wiki/Police_of_Denmark
2018-01-03_00_Scaffolding	444	15	Arbejdstilsynet	https://en.wikipedia.org/wiki/da:Arbejdstilsynet
2018-01-04_00_England	86	10	Echo Arena	https://en.wikipedia.org/wiki/Echo_Arena_Liverpool
2018-01-04_00_England	100	9	Liverpool	https://en.wikipedia.org/wiki/Liverpool
2018-01-04_00_England	111	7	England	https://en.wikipedia.org/wiki/England
2018-01-04_00_England	339	21	Range Rover Discovery	https://en.wikipedia.org/wiki/Land_Rover_Discovery
2018-01-04_00_England	867	2	°C	https://en.wikipedia.org/wiki/Celsius
2018-01-04_00_England	985	12	River Mersey	https://en.wikipedia.org/wiki/River_Mersey
2018-01-04_00_England	1248	34	Merseyside Fire and Rescue Service	https://en.wikipedia.org/wiki/Merseyside_Fire_and_Rescue_Service
2018-01-04_00_England	1656	12	Joe Anderson	https://en.wikipedia.org/wiki/Joe_Anderson_(politician)
2018-01-04_00_England	2642	9	Red Cross	https://en.wikipedia.org/wiki/International_Red_Cross_and_Red_Crescent_Movement
2018-01-04_00_England	2686	22	Liverpool City Council	https://en.wikipedia.org/wiki/Liverpool_City_Council
2018-01-04_00_England	3637	9	Nick Hurd	https://en.wikipedia.org/wiki/Nick_Hurd
2018-01-04_00_England	3660	10	Parliament	https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
2018-01-04_01_Tennis	34	8	Scottish	https://en.wikipedia.org/wiki/Scotland
2018-01-04_01_Tennis	43	6	tennis	https://en.wikipedia.org/wiki/Tennis
2018-01-04_01_Tennis	57	11	Andy Murray	https://en.wikipedia.org/wiki/Andy_Murray
2018-01-04_01_Tennis	87	8	upcoming	https://en.wikipedia.org/wiki/2018_Australian_Open
2018-01-04_01_Tennis	96	15	Australian Open	https://en.wikipedia.org/wiki/Australian_Open_(tennis)
2018-01-04_01_Tennis	164	7	Twitter	https://en.wikipedia.org/wiki/Twitter
2018-01-04_01_Tennis	224	22	Brisbane International	https://en.wikipedia.org/wiki/Brisbane_International
2018-01-04_01_Tennis	410	22	Wimbledon Championship	https://en.wikipedia.org/wiki/The_Championships,_Wimbledon
2018-01-04_01_Tennis	436	2	US	https://en.wikipedia.org/wiki/United_States
2018-01-04_01_Tennis	453	11	Sam Querrey	https://en.wikipedia.org/wiki/Sam_Querrey
2018-01-04_01_Tennis	522	7	US Open	https://en.wikipedia.org/wiki/US_Open
2018-01-04_01_Tennis	706	13	Ryan Harrison	https://en.wikipedia.org/wiki/Ryan_Harrison_(tennis)
2018-01-04_01_Tennis	723	8	Brisbane	https://en.wikipedia.org/wiki/Brisbane
2018-01-06_00_Mysterious	89	16	Tabetha Boyajian	https://en.wikipedia.org/wiki/Tabetha_Boyajian
2018-01-06_00_Mysterious	174	11	KIC 8462852	https://en.wikipedia.org/wiki/KIC_8462852
2018-01-06_00_Mysterious	1274	9	Celestron	https://en.wikipedia.org/wiki/Celestron
2018-01-06_00_Mysterious	1321	7	Arizona	https://en.wikipedia.org/wiki/Arizona
2018-01-06_00_Mysterious	1337	12	Tabby's star	https://en.wikipedia.org/wiki/Tabby%27s_star
2018-01-06_00_Mysterious	1844	7	Twitter	https://en.wikipedia.org/wiki/Twitter
2018-01-06_00_Mysterious	2252	29	Pennsylvania State University	https://en.wikipedia.org/wiki/Pennsylvania_State_University
2018-01-06_00_Mysterious	2929	10	exoplanets	https://en.wikipedia.org/wiki/Exoplanets
2018-01-06_00_Mysterious	3739	18	consuming a planet	https://en.wikipedia.org/wiki/planet_eater
2018-01-06_00_Mysterious	3854	12	Dyson sphere	https://en.wikipedia.org/wiki/Dyson_sphere
2018-01-06_00_Mysterious	3872	40	Search for Extraterrestrial Intelligence	https://en.wikipedia.org/wiki/Search_for_Extraterrestrial_Intelligence
2018-01-06_00_Mysterious	4001	19	Breakthrough Listen	https://en.wikipedia.org/wiki/Breakthrough_Listen
2018-01-06_00_Mysterious	4845	11	Kickstarter	https://en.wikipedia.org/wiki/Kickstarter
2018-01-06_00_Mysterious	4977	14	Planet Hunters	https://en.wikipedia.org/wiki/Planet_Hunters
2018-01-08_00_Saudi	70	6	Riyadh	https://en.wikipedia.org/wiki/Riyadh
2018-01-08_00_Saudi	78	12	Saudi Arabia	https://en.wikipedia.org/wiki/Saudi_Arabia
2018-01-08_00_Saudi	300	9	crackdown	https://en.wikipedia.org/wiki/2017_Saudi_Arabian_purge
2018-01-08_00_Saudi	402	15	al-Ha'ir Prison	https://en.wikipedia.org/wiki/al-Ha%27ir_Prison
2018-01-08_00_Saudi	819	6	sit-in	https://en.wikipedia.org/wiki/sit-in
2018-01-08_00_Saudi	1051	19	Mohammad bin Salman	https://en.wikipedia.org/wiki/Mohammad_bin_Salman
2018-01-08_00_Saudi	1466	11	King Salman	https://en.wikipedia.org/wiki/Salman_of_Saudi_Arabia
2018-01-08_00_Saudi	1609	18	Saudi Press Agency	https://en.wikipedia.org/wiki/Saudi_Press_Agency
2018-01-10_00_Israel	40	6	Israel	https://en.wikipedia.org/wiki/Israel
2018-01-10_00_Israel	229	42	boycott, divestment and sanctions movement	https://en.wikipedia.org/wiki/Boycott,_Divestment_and_Sanctions
2018-01-10_00_Israel	294	8	boycotts	https://en.wikipedia.org/wiki/boycotts
2018-01-10_00_Israel	389	9	Palestine	https://en.wikipedia.org/wiki/Palestinian_Territories
2018-01-10_00_Israel	641	6	Jewish	https://en.wikipedia.org/wiki/Judaism
2018-01-10_00_Israel	779	6	France	https://en.wikipedia.org/wiki/France
2018-01-10_00_Israel	787	5	Italy	https://en.wikipedia.org/wiki/Italy
2018-01-10_00_Israel	794	5	Chile	https://en.wikipedia.org/wiki/Chile
2018-01-10_00_Israel	805	12	South Africa	https://en.wikipedia.org/wiki/South_Africa
2018-01-10_00_Israel	865	39	France Association Palestine Solidarity	https://en.wikipedia.org/wiki/France_Association_Palestine_Solidarity
2018-01-10_00_Israel	1076	11	War on Want	https://en.wikipedia.org/wiki/War_on_Want
2018-01-10_00_Israel	1089	29	Palestine Solidarity Campaign	https://en.wikipedia.org/wiki/Palestine_Solidarity_Campaign
2018-01-10_00_Israel	1188	30	American Muslims for Palestine	https://en.wikipedia.org/wiki/American_Muslims_for_Palestine
2018-01-10_00_Israel	1302	9	Code Pink	https://en.wikipedia.org/wiki/Code_Pink
2018-01-10_00_Israel	1313	22	Jewish Voice for Peace	https://en.wikipedia.org/wiki/Jewish_Voice_for_Peace
2018-01-10_00_Israel	1345	34	American Friends Service Committee	https://en.wikipedia.org/wiki/American_Friends_Service_Committee
2018-01-10_00_Israel	1389	13	United States	https://en.wikipedia.org/wiki/United_States
2018-01-10_00_Israel	1438	7	Quakers	https://en.wikipedia.org/wiki/Quakers
2018-01-10_00_Israel	1782	17	Nobel Peace Prize	https://en.wikipedia.org/wiki/Nobel_Prize
2018-01-10_00_Israel	1851	12	World War II	https://en.wikipedia.org/wiki/World_War_II
2018-01-10_00_Israel	1902	7	Haaretz	https://en.wikipedia.org/wiki/Haaretz
2018-01-10_00_Israel	2499	8	Facebook	https://en.wikipedia.org/wiki/Facebook
2018-01-10_00_Israel	2919	11	free speech	https://en.wikipedia.org/wiki/Free_speech
2018-01-11_00_United	82	19	Southern California	https://en.wikipedia.org/wiki/Southern_California
2018-01-11_00_United	169	20	Santa Barbara County	https://en.wikipedia.org/wiki/Santa_Barbara_County
2018-01-11_00_United	223	22	last month's wildfires	https://en.wikipedia.org/wiki/December_2017_Southern_California_wildfires
2018-01-11_00_United	298	9	Montecito	https://en.wikipedia.org/wiki/Montecito,_California
2018-01-11_00_United	339	11	Thomas Fire	https://en.wikipedia.org/wiki/Thomas_Fire
2018-01-11_00_United	485	13	United States	https://en.wikipedia.org/wiki/United_States
2018-01-11_00_United	499	24	National Weather Service	https://en.wikipedia.org/wiki/National_Weather_Service
2018-01-11_00_United	593	14	Ventura County	https://en.wikipedia.org/wiki/Ventura_County,_California
2018-01-11_00_United	949	36	Santa Barbara County Fire Department	https://en.wikipedia.org/wiki/Santa_Barbara_County_Fire_Department
2018-01-11_00_United	1178	11	101 freeway	https://en.wikipedia.org/wiki/U.S._Route_101_in_California
2018-01-11_00_United	1248	4	KTLA	https://en.wikipedia.org/wiki/KTLA
2018-01-11_00_United	1389	11	Los Angeles	https://en.wikipedia.org/wiki/Los_Angeles
2018-01-11_00_United	1419	8	BBC News	https://en.wikipedia.org/wiki/BBC
2018-01-11_00_United	1589	13	Romero Canyon	https://en.wikipedia.org/wiki/Romero_Canyon
2018-01-11_00_United	1620	31	Sheriff of Santa Barbara County	https://en.wikipedia.org/wiki/Santa_Barbara_County_Sheriff%27s_Office
2018-01-11_00_United	2007	11	Coast Guard	https://en.wikipedia.org/wiki/United_States_Coast_Guard
2018-01-11_00_United	2548	11	Los Angeles	https://en.wikipedia.org/wiki/Los_Angeles_County
2018-01-11_00_United	2565	7	Ventura	https://en.wikipedia.org/wiki/Ventura_County,_California
2018-01-15_00_Turkey	94	15	Trabzon Airport	https://en.wikipedia.org/wiki/Trabzon_Airport
2018-01-15_00_Turkey	113	6	Turkey	https://en.wikipedia.org/wiki/Turkey
2018-01-15_00_Turkey	285	9	Black Sea	https://en.wikipedia.org/wiki/Black_Sea
2018-01-15_00_Turkey	314	14	Boeing 737-800	https://en.wikipedia.org/wiki/Boeing_737-800
2018-01-15_00_Turkey	341	16	Pegasus Airlines	https://en.wikipedia.org/wiki/Pegasus_Airlines
2018-01-15_00_Turkey	729	14	Anadolu Agency	https://en.wikipedia.org/wiki/Anadolu_Agency
2018-01-16_00_Airborne	121	9	Santa Ana	https://en.wikipedia.org/wiki/Santa_Ana,_California
2018-01-16_00_Airborne	132	10	California	https://en.wikipedia.org/wiki/California
2018-01-16_00_Airborne	152	6	Nissan	https://en.wikipedia.org/wiki/Nissan
2018-01-16_00_Airborne	159	5	sedan	https://en.wikipedia.org/wiki/Sedan_(automobile)
2018-01-16_00_Airborne	892	28	Orange County Fire Authority	https://en.wikipedia.org/wiki/Orange_County_Fire_Authority
2018-01-16_01_United	59	33	Federal Communications Commission	https://en.wikipedia.org/wiki/Federal_Communications_Commission
2018-01-16_01_United	100	8	Ajit Pai	https://en.wikipedia.org/wiki/Ajit_Pai
2018-01-16_01_United	297	6	Hawaii	https://en.wikipedia.org/wiki/Hawaii
2018-01-16_01_United	469	34	Hawaii Emergency Management Agency	https://en.wikipedia.org/wiki/Hawaii_Emergency_Management_Agency
2018-01-16_01_United	816	11	Vern Miyagi	https://en.wikipedia.org/wiki/Vern_Miyagi
2018-01-16_01_United	1026	9	David Ige	https://en.wikipedia.org/wiki/David_Ige
2018-01-16_01_United	1450	18	The New York Times	https://en.wikipedia.org/wiki/The_New_York_Times
2018-01-16_01_United	1822	13	Tulsi Gabbard	https://en.wikipedia.org/wiki/Tulsi_Gabbard
2018-01-16_01_United	1839	20	House Representative	https://en.wikipedia.org/wiki/United_States_House_of_Representatives
2018-01-16_01_United	1938	8	ABC News	https://en.wikipedia.org/wiki/ABC_News_(United_States)
2018-01-16_01_United	1958	11	North Korea	https://en.wikipedia.org/wiki/North_Korea
2018-01-16_01_United	2017	24	Honolulu Star-Advertiser	https://en.wikipedia.org/wiki/Honolulu_Star-Advertiser
2018-01-16_01_United	2154	8	Cold War	https://en.wikipedia.org/wiki/Cold_War
2018-01-16_02_BBC	27	3	BBC	https://en.wikipedia.org/wiki/BBC
2018-01-16_02_BBC	42	14	George Alagiah	https://en.wikipedia.org/wiki/George_Alagiah
2018-01-16_02_BBC	338	15	Sri-Lankan-born	https://en.wikipedia.org/wiki/Sri_Lanka
2018-01-16_02_BBC	702	7	Twitter	https://en.wikipedia.org/wiki/Twitter
2018-01-16_02_BBC	911	10	stage four	https://en.wikipedia.org/wiki/cancer_staging
2018-01-16_02_BBC	1061	15	BBC News at Six	https://en.wikipedia.org/wiki/BBC_News_at_Six
2018-01-17_00_United	91	14	Gulf of Mexico	https://en.wikipedia.org/wiki/Gulf_of_Mexico
