Week Beginning,userDomain,Event Count,Event Actions,Event Values,Critique Feature Usage,Days,Active Users,AI Characters
2025-12-29,ext_domain_1,48,549,582.2,0,2,3,13191
2025-12-29,firm_9_domain,43,444,309.1,0,2,2,37872
2025-12-29,ext_domain_2,39,1769,1571.5,0,2,2,21845
2025-12-29,firm_1_domain,32,86,260.0,0,1,2,1827
2025-12-29,ext_domain_3,42,441,593.9,0,1,2,74741
2025-12-29,firm_2_domain,46,422,307.0,0,1,2,12938
2025-12-29,ext_domain_4,2,5,0.0,0,0,0,0
2026-01-05,ext_domain_1,90,8611,2891.0,0,6,26,569128
2026-01-05,firm_9_domain,57,346,445.4,1,1,1,1892
2026-01-05,ext_domain_2,69,4169,1307.2,1,5,7,101532
2026-01-05,ext_domain_5,40,893,324.0,1,2,2,9545
2026-01-05,firm_1_domain,77,5019,611.0,0,6,7,100227
2026-01-05,ext_domain_3,83,4829,1875.0,4,5,13,309579
2026-01-05,ext_domain_6,32,204,637.8,0,1,1,11929
2026-01-05,firm_4_domain,52,339,1899.2,12,1,1,14806
2026-01-05,firm_2_domain,43,421,326.1,0,3,3,19200
2026-01-05,ext_domain_7,26,140,841.0,0,1,1,4358
2026-01-05,ext_domain_8,1,1,0.0,0,0,0,0
2026-01-05,firm_10_domain,9,13,0.0,0,0,0,0
2026-01-05,ext_domain_9,2,2,0.0,0,0,0,0
2026-01-05,ext_domain_10,10,45,0.0,0,0,0,0
2026-01-05,ext_domain_4,60,1114,85.0,0,5,5,10591
2026-01-12,firm_11_domain,1,1,0.0,0,0,0,0
2026-01-12,ext_domain_1,91,9531,1557.0,3,7,27,238116
2026-01-12,firm_9_domain,37,2417,957.0,0,3,3,17119
2026-01-12,ext_domain_2,65,2193,1376.0,0,5,8,129498
2026-01-12,ext_domain_5,20,72,1183.0,0,2,2,16387
2026-01-12,firm_1_domain,88,5604,1520.0,13,5,10,165810
2026-01-12,ext_domain_3,71,4299,2913.0,0,5,8,649420
2026-01-12,ext_domain_6,42,625,1968.8,1,2,2,69527
2026-01-12,firm_4_domain,93,3815,1089.0,50,5,7,253581
2026-01-12,firm_2_domain,74,1511,427.0,0,2,4,47303
2026-01-12,ext_domain_7,44,857,153.0,0,2,2,32126
