Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一种凉鞋，通常是一种休闲服饰。
They consist of a flat sole held loosely on the foot by a Y-shaped strap known as a toe thong that passes between the first and second toes and around both sides of the foot or can be a hard base with a strap across all the toes (these can also be called sliders).	由一个扁平的鞋底组成，一条Y形的带子松散地固定在脚上，称为脚趾丁字带，穿过第一和第二脚趾之间以及脚两侧，或者可以是一个硬底座，在所有脚趾上都有一条带子（这些也可以称为滑块）。
This style of footwear has been worn by the people of many cultures throughout the world, originating as early as the ancient Egyptians in 1,500 B.C.	这种鞋类风格一直由世界各地许多文化的人们穿着，最早起源于公元前1500年的古埃及人。
In the United States the flip-flop descends from the Japanese zōri, which became popular after World War II as soldiers brought them back from Japan.	在美国，人字拖起源于日本zōri，二战后，当士兵从日本带回来时，日本zōri变得很受欢迎。
They became popular unisex summer footwear starting in the 1960s.	自1960年代开始，人字拖成为流行的中性夏季鞋类。
The term flip-flop has been used in American and British English since the 1960s to describe the thong or no-heel-strap sandal.	自20世纪60年代以来，人字拖一词在美国和英国英语中一直用于描述丁字鞋或无跟带凉鞋。
It is an onomatopoeia of the sound made by the sandals when walking in them.	这是穿着凉鞋行走时发出的声音的拟声。
They are called thongs (sometimes pluggers) in Australia, jandals (originally a trademarked name derived from "Japanese sandals") in New Zealand, slops or “visplakkies” in South Africa and Zimbabwe, and tsinelas or step-in in the Philippines (or, in some Visayan localities, "smagol", from the word smuggled).	在澳大利亚，它们被称为丁字鞋（有时是 plugger），在纽西兰被称为jandal（最初是源自「日本凉鞋」的商标名称），在南非和辛巴威被称为 slope 或「visplakkies」，在菲律宾被称为「tsinelas」或「step-in」（或者，在米沙鄢群岛部分地区，从单字 smuggled 变化为「smagol」）。
This footwear has a number of other names around the world.	这种鞋子在世界各地还有许多其他名字。
The Japanese wear similarly designed, traditional straw sandals known as zōri.	日本人穿着设计相似的传统草鞋，被称为zōri。
Throughout the world, they are known by a variety of other names, including dép tông or dép xỏ ngón in Vietnam, chinelos in Brazil, japonki in Poland, dacas in Somalia, sayonares (σαγιονάρες) in Greece, slippers in Hawaii, Bahamas, Trinidad and Tobago and the Netherlands, infradito in Italy, djapanki (джапанки) in Bulgaria,"charlie wote" in Ghana, "japanke" in Croatia and vietnamki in Russia and Ukraine, yezenes in Latvia.	在世界各地，它们以各种其他名称而闻名，包括越南的dép tông或dép xo ngón、巴西的 chinelos、波兰的 japonki、索马利亚的 dacas、希腊的 Saonares（σαγιονάρες）、夏威夷、巴哈马、千里达及托巴哥和荷兰的 slippers、义大利的 infradito、保加利亚的 djapanki（джапанки）、迦纳的「charlie wote」、克罗埃西亚的「japanke」、俄罗斯和乌克兰的 viernamki、拉脱维亚的 yezenes。
They were introduced by Bata in India under the brand name Hawaii slippers and are extremely popular throughout the country.	Bata公司在印度以夏威夷拖鞋的品牌推出，受到全国热烈欢迎。
Thong sandals have been worn for thousands of years, dating back to pictures of them in ancient Egyptian murals from 4,000 BC.	人字拖的穿着已有几千年历史，最早可追溯到西元前 4000 年的埃及壁画上。
A pair found in Europe was made of papyrus leaves and dated to be approximately 1,500 years old.	一双在欧洲发现的莎草叶制人字拖，约有 1500 年之久。
These early versions of flip-flops were made from a wide variety of materials.	这类早期版本的人字拖，以各种不同材质制作。
Ancient Egyptian sandals were made from papyrus and palm leaves.	古埃及以莎草与棕榈叶制作人字拖。
The Masai of Africa made them out of rawhide.	非洲马赛人则使用皮革制作。
