Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一種涼鞋，通常是一種休閒服飾。
They consist of a flat sole held loosely on the foot by a Y-shaped strap known as a toe thong that passes between the first and second toes and around both sides of the foot or can be a hard base with a strap across all the toes (these can also be called sliders).	由一個扁平的鞋底組成，一條Y形的帶子鬆散地固定在腳上，稱為腳趾丁字帶，穿過第一和第二腳趾之間以及腳兩側，或者可以是一個硬底座，在所有腳趾上都有一條帶子（這些也可以稱為滑塊）。
This style of footwear has been worn by the people of many cultures throughout the world, originating as early as the ancient Egyptians in 1,500 B.C.	這種鞋類風格一直由世界各地許多文化的人們穿著，最早起源於公元前1500年的古埃及人。
In the United States the flip-flop descends from the Japanese zōri, which became popular after World War II as soldiers brought them back from Japan.	在美國，人字拖起源於日本zōri，二戰後，當士兵從日本帶回來時，日本zōri變得很受歡迎。
They became popular unisex summer footwear starting in the 1960s.	自1960年代開始，人字拖成為流行的中性夏季鞋類。
The term flip-flop has been used in American and British English since the 1960s to describe the thong or no-heel-strap sandal.	自20世紀60年代以來，人字拖一詞在美國和英國英語中一直用於描述丁字鞋或無跟帶涼鞋。
It is an onomatopoeia of the sound made by the sandals when walking in them.	這是穿著涼鞋行走時發出的聲音的擬聲。
They are called thongs (sometimes pluggers) in Australia, jandals (originally a trademarked name derived from "Japanese sandals") in New Zealand, slops or “visplakkies” in South Africa and Zimbabwe, and tsinelas or step-in in the Philippines (or, in some Visayan localities, "smagol", from the word smuggled).	在澳大利亞，它們被稱為丁字鞋（有時是 plugger），在紐西蘭被稱為jandal（最初是源自「日本涼鞋」的商標名稱），在南非和辛巴威被稱為 slope 或「visplakkies」，在菲律賓被稱為「tsinelas」或「step-in」（或者，在米沙鄢群島部分地區，從單字 smuggled 變化為「smagol」）。
This footwear has a number of other names around the world.	這種鞋子在世界各地還有許多其他名字。
The Japanese wear similarly designed, traditional straw sandals known as zōri.	日本人穿著設計相似的傳統草鞋，被稱為zōri。
Throughout the world, they are known by a variety of other names, including dép tông or dép xỏ ngón in Vietnam, chinelos in Brazil, japonki in Poland, dacas in Somalia, sayonares (σαγιονάρες) in Greece, slippers in Hawaii, Bahamas, Trinidad and Tobago and the Netherlands, infradito in Italy, djapanki (джапанки) in Bulgaria,"charlie wote" in Ghana, "japanke" in Croatia and vietnamki in Russia and Ukraine, yezenes in Latvia.	在世界各地，它們以各種其他名稱而聞名，包括越南的dép tông或dép xo ngón、巴西的 chinelos、波蘭的 japonki、索馬利亞的 dacas、希臘的 Saonares（σαγιονάρες）、夏威夷、巴哈馬、千里達及托巴哥和荷蘭的 slippers、義大利的 infradito、保加利亞的 djapanki（джапанки）、迦納的「charlie wote」、克羅埃西亞的「japanke」、俄羅斯和烏克蘭的 viernamki、拉脫維亞的 yezenes。
