Flip-flops are a type of sandal, typically worn as a form of casual wear.	人字拖是一种凉鞋，尤其用于休闲穿搭。
They consist of a flat sole held loosely on the foot by a Y-shaped strap known as a toe thong that passes between the first and second toes and around both sides of the foot or can be a hard base with a strap across all the toes (these can also be called sliders).	它们由平坦的鞋底和松松地挂在脚上的 Y 型带子（又名脚趾带）组成，带子会穿过第一和第二根脚趾，然后延伸至脚的两侧，也可能是由硬鞋底和横跨所有脚趾的带子组成（又称拖鞋）。
This style of footwear has been worn by the people of many cultures throughout the world, originating as early as the ancient Egyptians in 1,500 B.C.	全球各种文化的人们都会穿这种类型的鞋子，这种鞋子最早起源于公元前 1,500 年的古埃及。
In the United States the flip-flop descends from the Japanese zōri, which became popular after World War II as soldiers brought them back from Japan.	在美国，人字拖鞋来源于日本的 zōri。第二次世界大战后士兵将其从日本带回美国，从此流行起来。
They became popular unisex summer footwear starting in the 1960s.	20 世纪 60 年代，它们成为流行的中性夏日鞋款。
The term flip-flop has been used in American and British English since the 1960s to describe the thong or no-heel-strap sandal.	20 世纪 60 年代起，美式英语和英式英语用 flip-flop 一词来描述人字拖鞋或没有跟的有带凉鞋。
It is an onomatopoeia of the sound made by the sandals when walking in them.	这是穿着凉鞋走路时发出的声音的拟声词。
They are called thongs (sometimes pluggers) in Australia, jandals (originally a trademarked name derived from "Japanese sandals") in New Zealand, slops or “visplakkies” in South Africa and Zimbabwe, and tsinelas or step-in in the Philippines (or, in some Visayan localities, "smagol", from the word smuggled).	它们在澳大利亚被称为 thongs（有时也叫 pluggers），在新西兰被称为 jandals（原本是“日本木屐”的品牌名），在南非和津巴布韦被称为 slops 或“visplakkies”，在菲律宾被称为 tsinelas 或 step-in（或在米沙鄢地区被称为“smagol”，来源于 smuggled 一词）。
This footwear has a number of other names around the world.	这种鞋子在全球范围内还有多种名字。
The Japanese wear similarly designed, traditional straw sandals known as zōri.	日本人穿着类似设计的传统草鞋，名为 zōri。
Throughout the world, they are known by a variety of other names, including dép tông or dép xỏ ngón in Vietnam, chinelos in Brazil, japonki in Poland, dacas in Somalia, sayonares (σαγιονάρες) in Greece, slippers in Hawaii, Bahamas, Trinidad and Tobago and the Netherlands, infradito in Italy, djapanki (джапанки) in Bulgaria,"charlie wote" in Ghana, "japanke" in Croatia and vietnamki in Russia and Ukraine, yezenes in Latvia.	在全球范围内，它们还有其他多种名字，包括越南的 dép tông 或 dép xỏ ngón、巴西的 chinelos、波兰的 japonki、索马里的 dacas、希腊的 sayonares (σαγιονάρες)、夏威夷、巴哈马、特立尼达和多巴哥以及荷兰的 slippers、意大利的 infradito、保加利亚的 djapanki (джапанки)、加纳的“charlie wote”、克罗地亚的“japanke”以及俄罗斯和乌克兰的 vietnamki、拉脱维亚的 yezenes。
They were introduced by Bata in India under the brand name Hawaii slippers and are extremely popular throughout the country.	它们由 Bata 引入印度，隶属 Hawaii slippers 品牌旗下，风靡全国。
Thong sandals have been worn for thousands of years, dating back to pictures of them in ancient Egyptian murals from 4,000 BC.	人字拖鞋已有数千年历史，最早可以追溯到公元前 4,000 年的古埃及壁画。
A pair found in Europe was made of papyrus leaves and dated to be approximately 1,500 years old.	在欧洲发现了一双由纸莎草叶子制成的鞋子，已有将近 1,500 年历史。
These early versions of flip-flops were made from a wide variety of materials.	这些早期的人字拖鞋由多种材质制成。
Ancient Egyptian sandals were made from papyrus and palm leaves.	古埃及的凉鞋由纸莎草和棕榈叶制成。
The Masai of Africa made them out of rawhide.	非洲马赛族人用生牛皮制作。
In India, they were made from wood.	在印度，它们由木头制成。
In China and Japan, rice straw was used.	中国人和日本人使用稻草。
The leaves of the sisal plant were used to make twine for sandals in South America, while the natives of Mexico used the yucca plant.	南非人用剑麻的叶子来制作凉鞋的带子，而墨西哥土著使用丝兰。
The Ancient Greeks and Romans wore versions of flip-flops as well.	古埃及人和罗马人也穿不同版本的人字拖鞋。
In Greek sandals, the toe strap was worn between the first and second toes, while Roman sandals had the strap between the second and third toes.	希腊凉鞋的带子穿过第一和第二个脚趾之间，但罗马凉鞋的带子穿过第二和第三个脚趾之间。
These differ from the sandals worn by the Mesopotamians, with the strap between the third and fourth toes.	这些与美索不达米亚人穿的凉鞋不一样，它们的带子穿过第三和第四个脚趾之间。
In India, a related chappal ("toe knob") sandal was common, with no straps but a small knob sitting between the first and second toes.	一种类似的夹趾凉鞋在印度很流行，这种凉鞋没有带子，但在第一和第二个脚趾之间有一个小结。
They are known as Padukas.	它们被称为 Padukas。
The modern flip-flop became popular in the United States as soldiers returning from World War II brought Japanese zōri with them.	美国士兵在第二次世界大战后带回了日本的 zōri，现代人字拖鞋开始在美国流行起来。
It caught on in the 1950s during the postwar boom and after the end of hostilities of the Korean War.	它在 20 世纪 50 年代战后繁荣时期以及朝鲜战争后流行起来。
As they became adopted into American popular culture, the sandals were redesigned and changed into the bright colors that dominated 1950s design.	这种凉鞋逐渐融入美国流行文化，在 20 世纪 50 年代时被重新设计，并采用明亮颜色。
They quickly became popular due to their convenience and comfort, and were popular in beach-themed stores and as summer shoes.	由于其便利性和舒适性，它们迅速流行起来，成为海滩商店的热销鞋款以及人们的夏日首选。
During the 1960s, flip-flops became firmly associated with the beach lifestyle of California.	20 世纪 60 年代，人字拖鞋与加利福尼亚的海滩生活紧密联系起来。
As such, they were promoted as primarily a casual accessory, typically worn with shorts, bathing suits, or summer dresses.	因此，它们被营销为一种休闲配饰，用于搭配短裤、游泳衣或夏日裙子。
As they became more popular, some people started wearing them for dressier or more formal occasions.	由于它们越来越流行，有的人开始在衣着更讲究或更正式的场合穿着它们。
In 1962, Alpargatas marketed a version of flip-flops known as Havaianas in Brazil.	1962 年，Alpargatas 开始在巴西推销一款名为哈瓦那的人字拖鞋。
By 2010, more than 150 million pairs of Havaianas were produced each year.	到 2010 年为止，每年都要生产超过 1.5 亿双哈瓦那拖鞋。
Flip-flops quickly became popular as casual footwear of young adults.	人字拖鞋迅速成为受年轻人欢迎的休闲鞋款。
Girls would often decorate their flip-flops with metallic finishes, charms, chains, beads, rhinestones, or other jewelry.	女孩们会用金属饰品、挂饰、链条、珠子、莱茵石或其他宝石来装饰人字拖鞋。
High-end flip-flops made of leather or sophisticated synthetic materials are commonly worn in place of sneakers or loafers as the standard, everyday article of casual footwear, particularly among teenagers and young adults, although it is not unusual to see older people wearing playful, thick-soled flip-flops in brilliant colors.	皮制或复杂合成材料制成的高端人字拖鞋通常会替代运动鞋或乐福鞋作为每天标准的休闲鞋款使用，特别是青少年和年轻人，但也很常见年纪较大的人穿着亮色的厚底人字拖鞋。
Platform and high-heel variants began to appear in the 1990s.	20 世纪 90 年代，开始出现厚底和高跟的款式。
A minor controversy erupted in 2005 when some members of Northwestern University's national champion women's lacrosse team visited the White House wearing flip-flops.	2005 年时发生了一起小争议，当时西北大学国家冠军女子长曲棍球队的部分队员在参观白宫时穿了人字拖鞋。
The team responded to critics by auctioning off their flip-flops on eBay, raising $1,653 USD for young cancer patient, Jaclyn Murphy of Hopewell Junction, New York, who was befriended by the team.	面对批评的言论，该团队将他们的人字拖鞋放在 eBay 上拍卖，为来自纽约 Hopewell Junction 的年轻癌症患者贾克琳·墨菲筹集了 1,653 美元，她也是这个团队的朋友。
There is still a debate over whether this signaled a fundamental change in American culture — many youth feel that flip-flops are dressier and can be worn in a variety of social contexts, while older generations feel that wearing them at formal occasions signifies laziness and comfort over style.	人们仍在争论这是否代表着美国文化发生彻底变化。许多年轻人认为人字拖鞋也比较正式，可以在多种社交场合穿着，但老一代认为在正式场合穿人字拖鞋意味着懒惰和过于舒适。
In 2011, while vacationing in his native Hawaii, Barack Obama became the first President of the United States to be photographed wearing a pair of flip-flops.	2011 年，贝拉克·奥巴马在出生地夏威夷度假时，成为第一位被拍到穿着人字拖鞋的美国总统。
The Dalai Lama of Tibet is also a frequent wearer of flip-flops and has met with several U.S. presidents, including George W. Bush and Barack Obama, while wearing the sandals.	西藏的达赖喇嘛也很常穿人字拖鞋，在与包括乔治·布什和贝拉克·奥巴马在内的多位美国总统会面时都穿着凉鞋。
While exact sales figures for flip-flops are difficult to obtain due to the large number of stores and manufacturers involved, the Atlanta-based company Flip Flop Shops claimed that the shoes were responsible for a $20 billion industry in 2009.	虽然由于商店和厂家的数量庞大，很难获得确切的人字拖鞋销售数据，但在 2009 年，一家总部在亚特兰大的公司 Flip Flop Shops 声称人字拖鞋带来了 200 亿美元的收益。
Furthermore, sales of flip-flops exceeded those of sneakers for the first time in 2006.	2006 年，人字拖鞋的销量甚至首次超过了运动鞋的销量。
If these figures are accurate, it is remarkable considering the low cost of most flip-flops.	如果这些数据是准确的，考虑到大部分人字拖鞋的成本很低，这是个惊人的事实。
