3루	3 루
노숙하다	노 숙 하 다
不德義	不 德 義
완벽하다	완 벽 하 다
반가	반 가
콘테스트	콘 테 스 트
고사성어	고 사 성 어
가소롭다	가 소 롭 다
실례하다	실 례 하 다
졸다	졸 다
地下鐵驛	地 下 鐵 驛
가시화	가 시 화
대통령	대 통 령
䢖	䢖
모레	모 레
중국말	중 국 말
게젓	게 젓
가스레인지	가 스 레 인 지
精神勝利	精 神 勝 利
해열	해 열
-어도	- 어 도
태자	태 자
시누이	시 누 이
총대주교	총 대 주 교
遤	遤
갹출	갹 출
왕도마뱀	왕 도 마 뱀
환관	환 관
제주모치망둑	제 주 모 치 망 둑
역원	역 원
불치병	불 치 병
문집	문 집
드르렁	드 르 렁
고프다	고 프 다
엄두	엄 두
키프로스	키 프 로 스
주무르다	주 무 르 다
참모	참 모
교활하다	교 활 하 다
稁	稁
눈치채다	눈 치 채 다
시장하시다	시 장 하 시 다
헬기	헬 기
수류탄	수 류 탄
사회학	사 회 학
깻잎	깻 잎
외부	외 부
지저귀다	지 저 귀 다
군축	군 축
사대주의	사 대 주 의
추위	추 위
폴리프로필렌	폴 리 프 로 필 렌
협력하다	협 력 하 다
인용부	인 용 부
징집병	징 집 병
바지	바 지
보라	보 라
노출하다	노 출 하 다
일률	일 률
얼룩새코미꾸리	얼 룩 새 코 미 꾸 리
조직자	조 직 자
㖙	㖙
女學生	女 學 生
타협	타 협
추구	추 구
돌멩이	돌 멩 이
원앙	원 앙
된시옷	된 시 옷
우대석	우 대 석
망아지	망 아 지
울루루	울 루 루
-보다	- 보 다
상냥하다	상 냥 하 다
瓲	瓲
코드	코 드
포탄	포 탄
일대일	일 대 일
속세	속 세
진정제	진 정 제
노나다	노 나 다
英語圏	英 語 圏
여든	여 든
동봉하다	동 봉 하 다
동남아시아	동 남 아 시 아
孔德洞	孔 德 洞
자폐증	자 폐 증
양산	양 산
광서	광 서
민가	민 가
바지락	바 지 락
누나부트	누 나 부 트
그을다	그 을 다
환상곡	환 상 곡
참혹	참 혹
고대국어	고 대 국 어
항아리	항 아 리
제금	제 금
인형극	인 형 극
꾀꼬리	꾀 꼬 리
련애하다	련 애 하 다
현찰	현 찰
글쎄요	글 쎄 요
볼펜	볼 펜
움트다	움 트 다
국유화하다	국 유 화 하 다
체용	체 용
꼼트락꼼트락	꼼 트 락 꼼 트 락
마음씨	마 음 씨
계부	계 부
신청	신 청
테오도시우스	테 오 도 시 우 스
타타르어	타 타 르 어
비단조개	비 단 조 개
미분학	미 분 학
우크라	우 크 라
초은하단	초 은 하 단
해중	해 중
嶰	嶰
보온병	보 온 병
모국어	모 국 어
잇기	잇 기
량강도	량 강 도
노랑부리저어새	노 랑 부 리 저 어 새
그루지야어	그 루 지 야 어
가껍다	가 껍 다
下宿屋	下 宿 屋
하수구	하 수 구
創設者	創 設 者
祌	祌
점액	점 액
슬몃슬몃	슬 몃 슬 몃
소심하다	소 심 하 다
방송간섭	방 송 간 섭
식료품	식 료 품
깜빵	깜 빵
右翼手	右 翼 手
섞다	섞 다
이랴	이 랴
로마字	로 마 字
혐	혐
텐션	텐 션
욕	욕
風物詩	風 物 詩
화염병	화 염 병
생태학	생 태 학
이기적	이 기 적
카더라	카 더 라
하품하다	하 품 하 다
일반적	일 반 적
남자애	남 자 애
기르다	기 르 다
광부	광 부
해병대	해 병 대
화폐학	화 폐 학
두째	두 째
장음	장 음
우러러보다	우 러 러 보 다
부도덕하다	부 도 덕 하 다
空爆	空 爆
왕국	왕 국
범부	범 부
매이다	매 이 다
키보드	키 보 드
-라뇨	- 라 뇨
조류학	조 류 학
공수부대	공 수 부 대
잔점박이물범	잔 점 박 이 물 범
-의	- 의
체읍	체 읍
하나님	하 나 님
필승	필 승
머전	머 전
규정하다	규 정 하 다
민들레	민 들 레
몬타나	몬 타 나
윗수염박쥐	윗 수 염 박 쥐
기계공	기 계 공
빙결	빙 결
무빙워크	무 빙 워 크
홀어미	홀 어 미
구현하다	구 현 하 다
憘	憘
백정	백 정
냅킨	냅 킨
원족	원 족
죽마고우	죽 마 고 우
논리학	논 리 학
검소하다	검 소 하 다
버섯	버 섯
조리하다	조 리 하 다
라한	라 한
두문자	두 문 자
PJT	P J T
칠십대	칠 십 대
부딪다	부 딪 다
부루퉁이	부 루 퉁 이
불도	불 도
중력자	중 력 자
사업차	사 업 차
구기차	구 기 차
거년	거 년
未練	未 練
-러	- 러
갸름하다	갸 름 하 다
가언적	가 언 적
영	영
표현되다	표 현 되 다
내몽골	내 몽 골
문지르다	문 지 르 다
향유	향 유
사각지대	사 각 지 대
쏠다	쏠 다
부이온	부 이 온
호반새	호 반 새
고유명사	고 유 명 사
바알	바 알
물속	물 속
회남자	회 남 자
능률	능 률
륙	륙
벽장	벽 장
자가사리	자 가 사 리
거만	거 만
베니스	베 니 스
잔인하다	잔 인 하 다
왠지	왠 지
가시버시	가 시 버 시
개시	개 시
금요일	금 요 일
민의	민 의
스프링클러	스 프 링 클 러
부닥치다	부 닥 치 다
사자고추	사 자 고 추
동사하다	동 사 하 다
희다	희 다
오솔길	오 솔 길
융모	융 모
바그다드	바 그 다 드
入札	入 札
협서	협 서
족제비	족 제 비
수뇌상봉	수 뇌 상 봉
망루	망 루
잉부	잉 부
파라마리보	파 라 마 리 보
심	심
청남방	청 남 방
감지하다	감 지 하 다
평생	평 생
관군	관 군
작은땃쥐	작 은 땃 쥐
목람	목 람
조춘	조 춘
낙태	낙 태
백만	백 만
경례	경 례
권리	권 리
못생기다	못 생 기 다
맥점	맥 점
의심쩍다	의 심 쩍 다
8282	8 2 8 2
한글날	한 글 날
警察犬	警 察 犬
대륙	대 륙
唯一無二	唯 一 無 二
펌웨어	펌 웨 어
맹인	맹 인
이삭	이 삭
명망	명 망
와인	와 인
기중기	기 중 기
벨로키랍토르	벨 로 키 랍 토 르
강설	강 설
荒蕪地	荒 蕪 地
