accessorize	accessorise
accessorized	accessorised
accessorizes	accessorises
accessorizing	accessorising
acclimatization	acclimatisation
acclimatize	acclimatise
acclimatized	acclimatised
acclimatizes	acclimatises
acclimatizing	acclimatising
accouterments	accoutrements
aerogram	aerogramme
aerograms	aerogrammes
aggrandizement	aggrandisement
agonize	agonise
agonized	agonised
agonizes	agonises
agonizing	agonising
agonizingly	agonisingly
amortization	amortisation
amortizations	amortisations
amortize	amortise
amortized	amortised
amortizes	amortises
amortizing	amortising
amphitheater	amphitheatre
amphitheaters	amphitheatres
analyze	analyse
analyzed	analysed
analyzes	analyses
analyzing	analysing
anesthetize	anaesthetise
anesthetized	anaesthetised
anesthetizes	anaesthetises
anesthetizing	anaesthetising
anglicize	anglicise
anglicized	anglicised
anglicizes	anglicises
anglicizing	anglicising
annualized	annualised
antagonize	antagonise
antagonized	antagonised
antagonizes	antagonises
antagonizing	antagonising
apologize	apologise
apologized	apologised
apologizes	apologises
apologizing	apologising
appetizer	appetiser
appetizers	appetisers
appetizing	appetising
appetizingly	appetisingly
arbor	arbour
arbors	arbours
ardor	ardour
armor	armour
armored	armoured
armorer	armourer
armorers	armourers
armories	armouries
armory	armoury
authorize	authorise
authorized	authorised
authorizes	authorises
authorizing	authorising
baptize	baptise
baptized	baptised
baptizes	baptises
baptizing	baptising
bastardize	bastardise
bastardized	bastardised
bastardizes	bastardises
bastardizing	bastardising
behavior	behaviour
behavioral	behavioural
behaviorism	behaviourism
behaviorist	behaviourist
behaviorists	behaviourists
behaviors	behaviours
belabor	belabour
belabored	belaboured
belaboring	belabouring
belabors	belabours
bowdlerize	bowdlerise
bowdlerized	bowdlerised
bowdlerizes	bowdlerises
bowdlerizing	bowdlerising
breathalyze	breathalyse
breathalyzed	breathalysed
breathalyzer	breathalyser
breathalyzers	breathalysers
breathalyzes	breathalyses
breathalyzing	breathalysing
brutalize	brutalise
brutalized	brutalised
brutalizes	brutalises
brutalizing	brutalising
caliber	calibre
calibers	calibres
canalize	canalise
canalized	canalised
canalizes	canalises
canalizing	canalising
candor	candour
cannibalize	cannibalise
cannibalized	cannibalised
cannibalizes	cannibalises
cannibalizing	cannibalising
canonize	canonise
canonized	canonised
canonizes	canonises
canonizing	canonising
capitalize	capitalise
capitalized	capitalised
capitalizes	capitalises
capitalizing	capitalising
caramelize	caramelise
caramelized	caramelised
caramelizes	caramelises
caramelizing	caramelising
carbonize	carbonise
carbonized	carbonised
carbonizes	carbonises
carbonizing	carbonising
catalyze	catalyse
catalyzed	catalysed
catalyzes	catalyses
catalyzing	catalysing
categorize	categorise
categorized	categorised
categorizes	categorises
categorizing	categorising
cauterize	cauterise
cauterized	cauterised
cauterizes	cauterises
cauterizing	cauterising
center	centre
centered	centred
centerfold	centrefold
centerfolds	centrefolds
centerpiece	centrepiece
centerpieces	centrepieces
centers	centres
centigram	centigramme
centigrams	centigrammes
centiliter	centilitre
centiliters	centilitres
centimeter	centimetre
centimeters	centimetres
centralize	centralise
centralized	centralised
centralizes	centralises
centralizing	centralising
characterize	characterise
characterized	characterised
characterizes	characterises
characterizing	characterising
circularize	circularise
circularized	circularised
circularizes	circularises
circularizing	circularising
civilize	civilise
civilized	civilised
civilizes	civilises
civilizing	civilising
clamor	clamour
clamored	clamoured
clamoring	clamouring
clamors	clamours
clangor	clangour
collectivize	collectivise
collectivized	collectivised
collectivizes	collectivises
collectivizing	collectivising
colonization	colonisation
colonize	colonise
colonized	colonised
colonizer	coloniser
colonizers	colonisers
colonizes	colonises
colonizing	colonising
color	colour
colorant	colourant
colorants	colourants
colored	coloured
coloreds	coloureds
colorful	colourful
colorfully	colourfully
coloring	colouring
colorize	colourize
colorized	colourized
colorizes	colourizes
colorizing	colourizing
colorless	colourless
colors	colours
commercialize	commercialise
commercialized	commercialised
commercializes	commercialises
commercializing	commercialising
compartmentalize	compartmentalise
compartmentalized	compartmentalised
compartmentalizes	compartmentalises
compartmentalizing	compartmentalising
computerize	computerise
computerized	computerised
computerizes	computerises
computerizing	computerising
conceptualize	conceptualise
conceptualized	conceptualised
conceptualizes	conceptualises
conceptualizing	conceptualising
connection	connexion
connections	connexions
contextualize	contextualise
contextualized	contextualised
contextualizes	contextualises
