Sparsity,begin,end,freq,label smoothing,accuracy
0.5,20000,76000,2000,0,0.755599975586
0.5,20000,100000,4000,0.1,0.760320007801
0.5,20000,76000,4000,0.1,0.760580003262
0.5,20000,100000,8000,0,0.756020009518
0.5,8000,100000,4000,0.1,0.757239997387
0.5,8000,76000,4000,0.1,0.757040023804
0.5,8000,76000,4000,0,0.75396001339
0.5,20000,76000,2000,0.1,0.759119987488
0.5,40000,68000,2000,0.1,0.763140022755
0.5,8000,68000,4000,0.1,0.756060004234
0.5,40000,100000,2000,0.1,0.765299975872
0.5,20000,68000,8000,0.1,0.760659992695
0.5,8000,76000,8000,0,0.754760026932
0.5,40000,76000,8000,0,0.759660005569
0.5,20000,100000,2000,0,0.757340013981
0.5,40000,100000,8000,0,0.759379982948
0.5,40000,76000,4000,0,0.758220016956
0.5,40000,68000,4000,0,0.75992000103
0.5,20000,68000,2000,0.1,0.759000003338
0.5,8000,76000,2000,0.1,0.758000016212
0.5,40000,100000,4000,0,0.760259985924
0.5,8000,68000,4000,0,0.753459990025
0.5,8000,100000,2000,0,0.755420029163
0.5,40000,76000,2000,0,0.758639991283
0.5,20000,68000,8000,0,0.75584000349
0.5,40000,68000,2000,0,0.759739995003
0.5,20000,100000,2000,0.1,0.760100007057
0.5,20000,68000,4000,0,0.755620002747
0.5,40000,76000,2000,0.1,0.763679981232
0.5,40000,100000,8000,0.1,0.762600004673
0.5,40000,100000,4000,0.1,0.762080013752
0.5,40000,76000,4000,0.1,0.762579977512
0.5,20000,76000,8000,0.1,0.760160028934
0.5,40000,68000,8000,0.1,0.763999998569
0.5,20000,76000,4000,0,0.757359981537
0.5,8000,68000,8000,0,0.752879977226
0.5,8000,76000,8000,0.1,0.756959974766
0.5,8000,100000,8000,0.1,0.758679986
0.5,20000,100000,8000,0.1,0.759620010853
0.5,8000,68000,2000,0,0.753359973431
0.5,40000,68000,4000,0.1,0.763119995594
0.5,40000,68000,8000,0,0.759379982948
0.5,8000,68000,2000,0.1,0.755659997463
0.5,8000,76000,2000,0,0.754119992256
0.5,8000,100000,8000,0,0.758099973202
0.5,40000,100000,2000,0,0.756959974766
0.5,8000,68000,8000,0.1,0.758220016956
0.5,20000,68000,2000,0,0.754540026188
0.5,8000,100000,2000,0.1,0.759259998798
0.5,40000,76000,8000,0.1,0.762059986591
0.5,20000,76000,8000,0,0.756060004234
0.5,20000,68000,4000,0.1,0.758700013161
0.5,8000,100000,4000,0,0.75407999754
0.5,20000,100000,4000,0,0.759039998055
0.7,40000,68000,8000,0,0.755859971046
0.7,8000,68000,2000,0,0.746339976788
0.7,40000,100000,8000,0.1,0.760519981384
0.7,8000,100000,2000,0,0.749180018902
0.7,20000,76000,8000,0.1,0.755859971046
0.7,40000,100000,2000,0.1,0.757780015469
0.7,40000,76000,2000,0.1,0.760240018368
0.7,40000,76000,2000,0,0.754580020905
0.7,8000,76000,2000,0,0.746259987354
0.7,40000,100000,8000,0,0.754279971123
