OSM Tag,General Category,Tag Name,Description,Freq,1
amenity,Food,bar,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food.",597,2
amenity,Food,cafe,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop, bistro or sidewalk cafe.",1208,3
amenity,Food,fast_food,Fast food restaurant.,1185,4
amenity,Food,food_court,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",28,5
amenity,Food,ice_cream,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,113,6
amenity,Food,pub,A place selling beer and other alcoholic drinks; may also provide food or accommodation.,223,7
amenity,Food,restaurant,Restaurant (not fast food).,3429,8
amenity,Education,college,Campus or buildings of an institute of Further Education (aka continuing education),37,9
amenity,Education,kindergarten,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.",216,10
amenity,Education,library,"A public library (municipal, university, …) to borrow books from.",122,11
amenity,Education,training,Public place where you can get training.,20,12
amenity,Education,music_school,"A music school, an educational institution specialized in the study, training, and research of music.",10,13
amenity,Education,school,"School and grounds - primary, middle and seconday schools",1114,14
amenity,Education,university,An university campus: an institute of higher education,51,15
amenity,Transportation,bicycle_parking,Parking for bicycles,2639,16
amenity,Transportation,bicycle_repair_station,"General tools for self-service bicycle repairs, usually on the roadside; no service",68,17
amenity,Transportation,bicycle_rental,Rent a bicycle,311,18
amenity,Transportation,bus_station,A public transport station serviced by busses.,34,19
amenity,Transportation,car_rental,Rent a car,75,20
amenity,Transportation,car_sharing,Share a car,178,21
amenity,Transportation,car_wash,Wash a car,86,22
amenity,Transportation,compressed_air,"A device to inflate tires/tyres (e.g. motorcar, bicycle)",17,23
amenity,Transportation,charging_station,Charging facility for electric vehicles,179,24
amenity,Transportation,ferry_terminal,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.,29,25
amenity,Transportation,fuel,Petrol station; gas station; marine fuel.,500,26
amenity,Transportation,motorcycle_parking,Parking for motorcycles,111,27
amenity,Transportation,parking,A place to park cars and trucks.,6758,28
amenity,Transportation,parking_space,A place to park a car or truck.,2582,29
amenity,Transportation,taxi,A place where taxis wait for passengers.,74,30
amenity,Transportation,weighbridge,A large weight scale to weigh vehicles and goods,10,31
amenity,Financial,atm,ATM or cash point: a device that provides the clients of a financial institution with access to financial transactions.,298,32
amenity,Financial,payment_terminal,Self-service payment kiosk/terminal,12,33
amenity,Financial,bank,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.",546,34
amenity,Healthcare,clinic,A medium-sized medical facility or health centre.,149,35
amenity,Healthcare,dentist,A dentist practice / surgery.,205,36
amenity,Healthcare,doctors,A doctor's practice / surgery.,86,37
amenity,Healthcare,hospital,A hospital providing in-patient medical treatment.,67,38
amenity,Healthcare,pharmacy,A shop where a pharmacist sells medications,169,39
amenity,Healthcare,social_facility,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.",97,40
amenity,Healthcare,veterinary,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices.",70,41
amenity,Entertainment and Culture,arts_centre,A venue where a variety of arts are performed or conducted,53,42
amenity,Entertainment and Culture,casino,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.",13,43
amenity,Entertainment and Culture,cinema,A place where films are shown (US: movie theater),38,44
amenity,Entertainment and Culture,community_centre,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .",84,45
amenity,Entertainment and Culture,conference_centre,A large building that is used to hold a convention,10,46
