sparsity,time multiplier,init method,begin,end,freq,label smoothing,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9
0.5,2,sparse,40000,100000,2000,0.1,0.7479799986,0.7477200031,0.7497799993,0.7490800023,0.7482200265,0.7473199964,0.7507600188,0.7464600205,0.7503200173
0.5,2,baseline,40000,100000,2000,0.1,0.7480400205,0.7503600121,0.7492399812,0.7488399744,0.7484999895,0.7493600249,0.7473400235,0.7473000288,0.7491800189
0.7,2,baseline,40000,100000,4000,0.1,0.7288399935,0.7298799753,0.7291399837,0.7316399813,0.7291600108,0.7325400114,0.7321799994,0.7315999866,0.7320799828
0.7,2,sparse,40000,100000,4000,0.1,0.7303799987,0.7283800244,0.7303000093,0.7308599949,0.7292600274,0.7321599722,0.7318400145,0.7301399708,0.7303599715
0.8,2,sparse,40000,100000,2000,0.1,0.7099400163,0.712379992,0.7147200108,0.711319983,0.7129600048,0.7139400244,0.715659976,0.7109799981,0.7165200114
0.8,2,baseline,40000,100000,2000,0.1,0.7122600079,0.7133200169,0.7144200206,0.716620028,0.7146000266,0.7118399739,0.7126600146,0.7126399875,0.7135800123
0.9,2,baseline,40000,76000,2000,0.1,0.6757599711,0.6764000058,0.6768599749,0.673879981,0.6750000119,0.6730399728,0.677940011,0.6757000089,0.6739199758
0.9,2,sparse,40000,76000,2000,0.1,0.6736800075,0.6774399877,0.675639987,0.6730999947,0.6759600043,0.6786199808,0.6773800254,0.6784600019,0.6758000255
0.95,2,sparse,20000,100000,4000,0,0.6279199719,0.6253399849,0.6284400225,0.6279000044,0.6258400083,0.6317800283,0.6284199953,0.6294000149,0.6314799786
0.95,2,baseline,20000,100000,4000,0,0.6291999817,0.6265799999,0.6257399917,0.63191998,0.6308000088,0.6292999983,0.6281599998,0.6272799969,0.6237400174
