(75.0, 105.0, 1.0)
(85.0, 105.0, 1.0)
(65.0, 105.0, 1.0)
(75.0, 85.0, 1.0)
(75.0, 75.0, 1.0)
(75.0, 65.0, 1.0)
(75.0, 55.0, 1.0)
(65.0, 55.0, 1.0)
(85.0, 55.0, 1.0)
(95.0, 55.0, 1.0)
(105.0, 75.0, 1.0)
(105.0, 65.0, 1.0)
(105.0, 55.0, 1.0)
(105.0, 45.0, 1.0)
(135.0, 55.0, 1.0)
(145.0, 55.0, 1.0)
(135.0, 45.0, 1.0)
(135.0, 35.0, 1.0)
(135.0, 25.0, 1.0)
(135.0, 15.0, 1.0)
(125.0, 15.0, 1.0)
(115.0, 15.0, 1.0)
(105.0, 15.0, 1.0)
(95.0, 15.0, 1.0)
(85.0, 15.0, 1.0)
(65.0, 15.0, 1.0)
(55.0, 15.0, 1.0)
(45.0, 15.0, 1.0)
(35.0, 15.0, 1.0)
(25.0, 15.0, 1.0)
(15.0, 15.0, 1.0)
(25.0, 25.0, 1.0)
(25.0, 35.0, 1.0)
(25.0, 45.0, 1.0)
(25.0, 55.0, 1.0)
(15.0, 55.0, 1.0)
(5.0, 55.0, 1.0)
(75.0, 15.0, 1.0)
(125.0, 55.0, 1.0)
(75.0, 95.0, 1.0)
(45.0, 105.0, 1.0)
(35.0, 105.0, 1.0)
(25.0, 105.0, 1.0)
(15.0, 105.0, 1.0)
(5.0, 105.0, 1.0)
(5.0, 105.0, 0.0)
(155.0, 105.0, 0.0)
(145.0, 105.0, 0.0)
(135.0, 105.0, 0.0)
(125.0, 105.0, 0.0)
(115.0, 105.0, 0.0)
(105.0, 105.0, 0.0)
(95.0, 105.0, 0.0)
(85.0, 105.0, 0.0)
(75.0, 105.0, 0.0)
(65.0, 105.0, 0.0)
(55.0, 105.0, 0.0)
(45.0, 105.0, 0.0)
(35.0, 105.0, 0.0)
(25.0, 105.0, 0.0)
(15.0, 105.0, 0.0)
(75.0, 95.0, 0.0)
(75.0, 85.0, 0.0)
(75.0, 75.0, 0.0)
(75.0, 65.0, 0.0)
(75.0, 55.0, 0.0)
(75.0, 45.0, 0.0)
(75.0, 35.0, 0.0)
(75.0, 25.0, 0.0)
(75.0, 15.0, 0.0)
(75.0, 5.0, 0.0)
(155.0, 105.0, 4.0)
(75.0, 95.0, 4.0)
(75.0, 85.0, 4.0)
(75.0, 75.0, 4.0)
(75.0, 65.0, 4.0)
(75.0, 55.0, 4.0)
(75.0, 45.0, 4.0)
(75.0, 35.0, 4.0)
(75.0, 25.0, 4.0)
(75.0, 15.0, 4.0)
(75.0, 5.0, 4.0)
(85.0, 105.0, 4.0)
(95.0, 105.0, 4.0)
(105.0, 105.0, 4.0)
(115.0, 105.0, 4.0)
(125.0, 105.0, 4.0)
(135.0, 105.0, 4.0)
(145.0, 105.0, 4.0)
(75.0, 115.0, 4.0)
(75.0, 105.0, 4.0)
(65.0, 105.0, 4.0)
(55.0, 105.0, 4.0)
(45.0, 105.0, 4.0)
(35.0, 105.0, 4.0)
(25.0, 105.0, 4.0)
(15.0, 105.0, 4.0)
(5.0, 105.0, 4.0)
(155.0, 105.0, 3.0)
(145.0, 105.0, 3.0)
(135.0, 105.0, 3.0)
(125.0, 105.0, 3.0)
(115.0, 105.0, 3.0)
(105.0, 105.0, 3.0)
(95.0, 105.0, 3.0)
(85.0, 105.0, 3.0)
(75.0, 105.0, 3.0)
