wall,identity,wall
sky,identity,sky
floor,identity,floor
ceiling,identity,ceiling
road,identity,road
bed,identity,bed
windowpane,identity,window
chair,identity,chair_other
water,identity,water_other
painting,identity,painting
sofa,identity,couch
shelf,identity,shelf
sea,identity,sea
mirror,identity,mirror
rug,identity,rug_floormat
armchair,identity,armchair
seat,identity,seat
desk,identity,desk
rock,identity,rock
wardrobe,identity,wardrobe
lamp,identity,lamp
bathtub,identity,bathtub
base,identity,base
box,identity,box
column,identity,column
counter,identity,counter_other
sink,identity,sink
fireplace,identity,fireplace
refrigerator,identity,refrigerator
runway,identity,runway
case,identity,case
pool table,identity,pool_table
bridge,identity,bridge
bookcase,identity,bookshelf
blind,identity,window_blind
toilet,identity,toilet
book,identity,book
bench,identity,bench
countertop,identity,bathroom_counter
stove,identity,stove
kitchen island,identity,kitchen_island
swivel chair,identity,swivel_chair
arcade machine,identity,arcade_machine
bus,identity,bus
towel,identity,towel
light,identity,light_other
truck,identity,truck
chandelier,identity,chandelier
awning,identity,awning
streetlight,identity,streetlight
television receiver,identity,television
airplane,identity,airplane
apparel,identity,apparel
pole,identity,pole
escalator,identity,escalator
ottoman,identity,ottoman
bottle,identity,bottle
poster,identity,poster
stage,identity,stage
fountain,identity,fountain
conveyer belt,identity,conveyor_belt
washer,identity,washer_dryer
swimming pool,identity,swimming_pool
stool,identity,stool
barrel,identity,barrel
basket,identity,basket
waterfall,identity,waterfall
tent,identity,tent
bag,identity,bag
minibike,identity,motorcycle
cradle,identity,crib
oven,identity,oven
ball,identity,sports_ball
tank,identity,storage_tank
trade name,identity,billboard
microwave,identity,microwave
pot,identity,potted_plant
bicycle,identity,bicycle
dishwasher,identity,dishwasher
blanket,identity,blanket
sculpture,identity,sculpture
hood,identity,range_hood
sconce,identity,sconce
vase,identity,vase
traffic light,identity,traffic_light
tray,identity,tray
ashcan,identity,trash_can
fan,identity,fan
pier,identity,pier_wharf
plate,identity,plate
bulletin board,identity,bulletin_board
shower,identity,shower
radiator,identity,radiator
clock,identity,clock
flag,identity,flag
person,parent,person
person,parent,rider_other
person,parent,bicyclist
person,parent,motorcyclist
curtain,parent,curtain_other
curtain,parent,shower_curtain
fence,parent,fence
fence,parent,guard_rail
plaything,parent,plaything_other
plaything,parent,teddy_bear
food,parent,sandwich
food,parent,pizza
food,parent,cake
food,parent,fruit_other
food,parent,food_other
animal,parent,bird
animal,parent,cat
animal,parent,dog
animal,parent,horse
animal,parent,sheep
animal,parent,cow
animal,parent,elephant
animal,parent,bear
animal,parent,zebra
animal,parent,giraffe
animal,parent,animal_other
glass,parent,cup
glass,parent,wine_glass
sidewalk,child,sidewalk_pavement
path,child,sidewalk_pavement
cushion,child,pillow
pillow,child,pillow
door,child,door
screen door,child,door
stairs,child,stairs
stairway,child,stairs
mountain,child,mountain_hill
hill,child,mountain_hill
tree,child,vegetation
flower,child,vegetation
palm,child,vegetation
building,child,building
house,child,building
skyscraper,child,building
grandstand,child,building
hovel,child,building
tower,child,building
booth,child,building
grass,child,terrain
earth,child,terrain
field,child,terrain
sand,child,terrain
dirt track,child,terrain
land,child,terrain
railing,child,railing_banister
bannister,child,railing_banister
car,child,car
van,child,car
boat,child,boat_ship
ship,child,boat_ship
river,child,river_lake
lake,child,river_lake
table,overlap,table  # The ADE table excludes coffee tables yet includes MSeg nightstands. Vice versa for the MSeg table.
table,parent,nightstand
coffee table,child,table
chest of drawers,overlap,cabinet
chest of drawers,parent,chest_of_drawers
cabinet,child,cabinet
buffet,child,cabinet
