dG,Smiles,DockingScore
0.34125518809735667,O,-0.9445182318100933
-8.604934612894542,NN,4.194989346470601
-4.052748117502867,CO,-1.7170022826075488
-6.726377542668214,OOO,-8.551816574130333
3.8022286867462913,NC,0.5266504476789517
-0.5084144642171111,CC(=O)OC1=CC=CC=C1C(=O)O,-3.79306633511979
-6.049597056022657,c1(C=O)cc(OC)c(O)cc1,-9.28140662253272
6.129429131011392,O=C(Cc1ccccc1)NC1C(=O)N2C1SC(C2C(=O)O)(C)C,-6.953853868370623
6.803185068637745,CC(=O)Nc1ccc(cc1)O,4.372274931987523
-3.9752143429287257,COc1ccc2c(c1)[nH]c(n2)S(=O)Cc1ncc(c(c1C)OC)C,2.8504293359659005
