Code	Locale	What is your level of proficiency with the target language?	"Does the target language use abbreviations formed from the first character of each word in a phrase (e.g., ""NATO"" <  ""North American Treaty Organization"", ""CIA"" < ""Central Intelligence Agency"")?"	Please provide 2-3 examples of abbreviations formed from the first character of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed from the first syllable of each word in a phrase (e.g., ""FiDi"" < ""Financial District"", ""ForEx"" < ""foreign exchange"")?"	Please provide 2-3 examples of abbreviations formed from the first syllable of each word in a phrase in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words (e.g., ""Col."" < ""Colonel"", ""Ave."" < ""Avenue"")?"	Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes (e.g., Australian English ""footie"" < ""football"", with an -ie augment, ""ambo"" < ""ambulance"" with an -o augment)?"	"Please provide 2-3 examples of abbreviations formed by truncating characters at the ends of words and then adding ""augment"" suffixes in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)"	"Does the target language use abbreviations formed by deleting characters (e.g., particularly vowels) from the middle of words (e.g., ""Blvd."" < ""Boulevard"", ""Sgt."" < ""Sergeant"")?"	Please provide 2-3 examples of abbreviations formed by deleting characters from the middle of words in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any orthographic tricks to mark the inflection of abbreviations (e.g., Spanish ""'EE UU."" < ""Estados Unidos"" 'United States', with the doubling used to indicate that the abbreviation is plural)?"	Please provide 2-3 examples of inflected abbreviations in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	"Does the target language use any particular orthographic tricks to abbreviate reduplication (e.g., Indonesian ""orang2"" < ""orangorang"" 'people', with ""2"" used to indicate reduplication)? Answer ""No"" if the target language does not have productive reduplication."	Please provide 2-3 examples of abbreviations for reduplication in the target language, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to any relevant discussions of this phenomenon.)	Does the target language use any other style of abbreviation not yet covered?	Please provide 2-3 examples of these other style or styles, giving the abbreviated form, the full/expanded form, and an English gloss. (You are also welcome to link to discussions of other styles of abbreviation in the target language.)
ru	Russian	5	Yes	МТС (Московская телефонная сеть - Moscow telephone network (USSR) or Мобильные ТелеСистемы - Mobile TeleSystems (modern Russia)), ЖКХ (Жилищно-коммунальное хозяйство - Housing Communal Association), УК (Уголовный Кодекс - Penal Code)	Yes	ФизТех - (Физико-технологический *институт*, where the noun is isually omitted, used as a noun), СовБез (Совет Безопасности, security council), Телецентр (телевизионный центр, television broadcasting centre)	Yes	Ул. - улица (стреет), Пр. - (1) проспект (as in boullevard), (2) проезд (drive, as in street), пр. -  прочее/прочие (etc.), пол. - полковник (colonel)	Yes	презик - презерватив (condom, modern colloquial), рестик - ресторан (restaurant, model colloquial)	No		Yes	эсер - (социалист-революционер, СР, socialist revolutionary, sing.) -> эсеры (pl.) + inflections	No		Yes	"This is probably not suitable for an answer in this form, but abbreviations in Russian are interesting and have been studied in depth. Tons of interesting phenomena, e.g.:  (1) homonymous abbreviations, where something gets abbreviated based on proximity to pronunciation of a common word. E.g., ВИКА - Восточно-европейская Инвестиционная Компания (East European Investment Company) get abbreviated unusually because Vika is a short name of Victoria, a common female first name.  (2) Another interesting development of the last 40-50 years is the increased  number of inflected forms of abbreviations which by now are perceived as ""normal"" non-abbreviated forms. E.g. consider БОМЖ - без определенного места жительства (without permanent residence), a reasonably old abbreviation (from 1950s I'd say):  БОМЖ —> ---  бомж-их-а: (noun) a homeless woman —* бомж-атник: (noun) a homeless shelter —> бомж-ушник: (noun) not entirely sure, but this may have the semantics of being poor —* бомж-ева-ть: (verb) to lead homeless lifestyle —> бомж-еват-ый: (adj) looking like a homeless person etc.  (3) ""Telescopic"" abbreviations where some words drop the final parts and others drop the initial morphemes, e.g., a very old and established acronym from 1920s: Торгпредство - <Торг>овое <Пред>ставитель<ство> (Foreign Trade Commision)  (4) Multiple spelling variants of abbreviation derived inflections, e.g.:  МГУ - Московский Государственный Университет (Moscow State University): *МГУ*шники  vs. *эм*-*ге*-*у*-шники (MGU students)  Sources: -------------- https://sokr.ru/. <- This site documents many thousands of abbreviations. https://static.freereferats.ru/_avtoreferats/01003354275.pdf https://www.irlc.msu.ru/irlc_projects/library/file.php/6bcc5e2789f6ab7352fa9fbf9d69cf1a.pdf  "
es	Spanish	3	Yes	abbreviated: SIDA; full: síndrome de inmunodeficiencia adquirida; English gloss: AIDS abbreviated: EEUU; full: Estados Unidos; English gloss: USA abbreviated: OTAN; full: Organización del Tratado del Atlántico Norte; English gloss: NATO	No		No		No		Yes	abbreviation: pya; full: playa; gloss: beach abbreviation: cmno; full: camino; gloss: road abbreviation: pza; full: plaza; gloss: plaza	Yes	abbreviation: EEUU; full: Estados Unidos; gloss: USA abbreviation: RRPP; full: relaciones públicas; gloss: public relations	No		Yes	abbreviation: N^o (o is superscript); full: numero; gloss: number.  (could be deletion abbr., \circ is final o) abbreviation: C^o (o is superscript); full: centigrade; gloss: centigrade (\circ indicates degree)
bg	Bulgarian	3	Yes	ГДР (letters pronounced individually), Германската демократична република, East Germany/DDR САЩ (pronouned as a word), Съединѐните америка̀нски ща̀ти, United States МВР (letters pronounced individually), Министерството на вътрешните работи, Ministry of the Interior	Yes	Политбюро, политическо бюро, politbureau of the party Коминформбюро, Комунистическо информационно бюро, communist information bureau	Yes	ул. , улица, street тел. , телефон, telephone	No		Yes	р-к, Редник, private (military rank) ефр.    , Ефрейтор , corporal (military rank)	No		No		No	
ja	Japanese	3	Yes	東京大学 (tōkyō daigaku) ---> 東大 (tōdai) [tokyo university]	Yes	Examples from the previous case could also be interpreted as involving the first syllable, as opposed to the first character: 東京大学 (tōkyō daigaku) ---> 東大 (tōdai) [tokyo university]	No		No		No		No		Yes	"There is a reduplication marker ""々"" that designates a copy of the previous character. Examples: 代々木 (Yoyogi -- a place name), 人々 (hito-bito `people'), 日々 (hi-bi, day to day)"	Yes	"Truncation of words borrowed from foreign languages is common. Note that these are *read* as the truncated forms, so are not abbreviations in the technical sense --- they are more like ""math"" or ""phys ed"" in English. Examples: セクハラ (seku hara) ""sexual harrassment""; ドンカツ (don katsu) ""don katsu"", where the ""katsu"" is from ""katsuletto"" (cutlet)."
pt-br	Portuguese (Brazilian)	5	Yes	IBGE / Instituto Brasileiro de Geografia e Estatistica / Brazilian Institute of Geography and Statistics  MPF / Ministério Público Federal / Attorney's General Office  CBF / Confederação Brasileira de Futebol / Brazilian Football Confederation	Yes	COPOM / Comitê de Política Monetária / Monetary Policy Committee  ANATEL / Agência Nacional de Telecomunicações / National Telecommunications Agency  DETRAN / Departamento Estadual de Trânsito / State Transit Department	Yes	R / Rua / Street  Av / Avenida / Avenue  Cel / Celular / Mobile Phone  	No		Yes	Cel / Coronel / Colonel  Apto / Apartamento / Apartment  	No		No		No	
pt-pt	Portuguese (European)	5	Yes	OTAN (Organização Tratado Atlantico Norte, NATO), ONU (Organização das Nações Unidas, UN), LAJIDA (Lucro Antes de Juros, Impostos, Depreciação e Amortização, EBITDA), IRPF (Imposto de Renda Pessoa Física, Personal Income Tax Declaration)	No		Yes	Padre (Pe., Priest)	Yes	Onibus (Busão, Bus)	Yes	Comandante (Cmte., Commander), Sargento (Sgto, Sergeant)	No		No		No	
he	Hebrew	4	Yes	"ר״ת = ראשי תיבות Translation: Acronym, literally ""heads of words (letter sequences, as in a space separated sequence of letters, which isn't necessarily thought of as the same as a word in Hebrew) Gloss: Head[Plural, Construct] Word[Plural]  א״י = ארץ ישראל Translation: ""the land of israel"" Gloss: Land[Sing, Construct] Israel  ז״ל = זכרונו לברכה Translation: ""blessed be his/her memory"", said after the name of a deceased person, even in English occasionally seen written as z""l (which is a transliteration of the acronym) Memory[Singular, Possesive=Masculine Third Person Singular] To Blessing  ח״כ = חבר כנסת Translation: member of the Knesset, this is even inflected by number and gender, for example ח״כית, ח״כיות, ח״כים are the [Fem, Sing], [Masc, Plural], [Fem, Plural] inflections Gloss: Member[Masculine, Singular] Knesset  חל״ת = חופשה ללא תשלום Translation: ""vacation without pay"", a furlough Gloss: same as above  להט״ב = לסביות, הומואים, טרנסג׳נדרים וביסקסואלים Translation: ""lesbian, gay, transgender, and bisexual"" Gloss: Lesbian[Fem, Plural], Gay[Masc, Plural], Transgender[Masc, Plural], And-Bisexual[Masc, Plural] Note: The final token וביסקסואלים begins on the clitic ו meaning 'and', which is skipped in the acronym  למ״ס = הלשכה המרכזית לסטטיסטיקה Translation: ""the central bureau of statistics"" Gloss: The-Bureau[Sing] The-Central[Fem, Sing] To-Statistic Note:  The whole the first two tokens begin on the clitic ה, meaning ""the"", which is ""skipped over"" for the purposes of forming this acronym  מד״א = מגן דוד אדום Translation: Israel's red cross equivalent, the red star of david Gloss: Shield[Sing] David Red[Masc, Sing] מו״מ = משא ומתן Translation: Negotiation Gloss: Bearing And-Giving מו״פ = מחקר ופיתוח Translation: R&D Gloss: Research And-Development מלכ״ר = מוסד ללא כוונת רווח Translation: Non-profit organization Gloss: Institution[Singular] Without Intention[Singular, Construct] Profit[Singular]  נ״ט = נגד טנקים Translation: Anti-Tank Gloss: Against Tanks[Plural] נתב״ג = נמל התעופה בן גוריון Translation: Ben Gurion Airport Gloss: Port[Construct, Singular] The-Flight[Singular] Ben Gurion Note: The clitic ה in התעופה is skipped over for the purposes of forming this acronym "	Yes	חו״ל = חוץ לארץ Translation: Abroad Gloss: Outside To-The-Country Formation: First 2 letters of 1st word, 1st letter of second word  יו״ר = יושב ראש Translation: Chairman Gloss: Sit[Singular, Masculine, Construct] Head[Singular] Formation: First 2 letters of 1st word, 1st letter of second word  מנכ״ל = מנהל כללי Translation: CEO Gloss: Manager[Masculine, Singular] General[Masculine, Singular] Note: This acronym inflects for number and gender: מנכ״לית, מנכ״לים, מנכ״ליות Formation: First two letters of 1st word, first two letters of second word  סמנכ״ל = סגן מנהל כללי Translation: Vice CEO (Doesn't exactly have a translation in english) Gloss: Vice Manager[Masculine, Singular] General[Masculine, Singular] Note: This acronym inflects for number and gender: סמנכ״לית, סמנכ״לים, סמנכ״ליות Formation: First letter of first word, first two letters of second word, first two letters of third word  	Yes	מס׳ = מספר Number ר׳ = רחוב Street גב׳ = גברת Lady מ׳ = מר Sir/Mister	No		No		No		No		Yes	"# Transcription of Foreign Acronyms אונסק״ו  = UNESCO נאט״ו = NATO נאס״א = NASA For the above: Formation: Transcription  # Acronyms which get morphologied :p ## Inflections of Acronyms ### Determined (as in, using a determiner) versions of acronyms בי״ס = בית ספר Translation: School Gloss: House[Singular, Construct] Book Formation: a[0], a[1], b[0]  ביה״ס = בית הספר Translation: The School Gloss: House[Singular,Construct] The-Book Formation: a[0], a[1], b[0], b[1] Note: The clitic ה meaning ""the"" being present within the acronym is of course intentional here, since that is what differentiates it from the previous one   ### Number/Gender Variants of acronyms בתי״ס = בתי ספר Translation: Schools Gloss: Houses[Plural, Construct] Book Formation: a[0], a[1], a[2], b[0]  בתיה״ס = בתי הספר Translation: The Schools Gloss: Houses[Plural, Construct] The-Book Formation: a[0], a[1], a[2], b[0], b[1]  ## Derivations of Acronyms ### Deriving adjectives concatenatively תנ״ך = תורה נביאים וכתובים  Translation: Tanach, Bible Gloss: Torah Prophets And-Writings  תנ״כי  Translation: Of or related to the Tanach Formation: Tanach + letter Yud to form an adjective   ## Derivation of new words by analyzing an abbreviation as a (Semitic) roots דו״ח = דין וחשבון Translation: Report (noun) Gloss: Law and-Account Formation: 1st letter of Law, 1st letter of And, 1st letter of Account  דיווח  Translation: Report (verb) Formation: Reanalyzing דו״ח to back-form a Hebrew root from it and then create a Pi'eL pattern verb from it  דווח  Translation: Reporter Formation: Reanalyzing דו״ח to back-form a Hebrew root from it and then create a KaTaL pattern noun from it   # ָAcronym by morpheme, rather than by word (common for units) מ״מ = מילימטר Translation: Milimeter Formation: 1st letter of ""mili"", 1st letter of ""meter""  ק״ג = קילוגרם Translation: Kilogram Formation: 1st letter of ""kilo"", 1st letter of ""gram"",   קמ״ש = קילומטר לשעה Translation: Kilogram Gloss: Kilometer To-Hour Formation: 1st letter of ""kilo"", 1st letter of ""meter"",  1st letter of ""hour""  מ״ק = מטר מעוקב Translation: Cubic Meter Gloss: Meter Cubed Formation: 1st letter of ""meter"",  4th letter of ""cubed"" Note: The 4th letter of cubed was likely chosen because choosing the 1st letter would result in an identical acronym to ""milimeter"", and also the 4th letter is the 2nd root letter, so it's a distinctive letter for the word "
pt-pt	Portuguese (European)	5	Yes	"NATO is OTAN (Organização do Tratado do Atlântico Norte); similar, UN is ONU  (""Organização das Nações Unidas)"	No		Yes	Ave. or Av. for Avenida (Avenue)	No		Yes	Abrv. for abreviação (abreviation)	No		No		No	
fr	French	5	Yes	* SNCF — Société Nationale des Chemins de fer Français (National railway company https://en.wikipedia.org/wiki/SNCF) * CAF — Caisse d'allocations familiales (The French national subsidiary programme https://en.wikipedia.org/wiki/Caisse_d%27allocations_familiales) * GIGN — Groupe d'intervention de la gendarmerie nationale (French police special forces — https://en.wikipedia.org/wiki/GIGN) * CQFD — Ce qu'il fallait démontrer (French equivalent of https://en.wikipedia.org/wiki/Q.E.D.) * PACA — Provence Alpes Côte d'Azur (https://en.wikipedia.org/wiki/Provence-Alpes-C%C3%B4te_d%27Azur) * DOM-TOM — Départements d'Outre-Mer Territoires d'Outre Mer (Name given to the French overseas territories: https://en.wikipedia.org/wiki/Overseas_France)	Yes	"Velcro — Velours Crocheté, apparently called ""Hook-and-loop fastener in English) Dircab — Directeur de cabinet (Chief of Staff) Modem — Modulateur Démodulateur (internet modem)  "	Yes	Col. (Colonel) Av. (Avenue)  	No		Yes	"gde — grande (""big"", feminine) pdt — pendant (""during) chgmt — changement (change) sgt — sergent (Sargent) dr — docteur (doctor)"	No		Yes	"In some cases, if an abbreviated phrase would have two words starting with the same letter, we would put ""2<letter>"" instead. (like if for USSR one would say U2SR). E.g.: AG2R — Association Générale de Retraite par Répartition (a well-know pension hedge fund) >> Probably a lot more but cannot think about them now"	No	
pt-br	Portuguese (Brazilian)	5	Yes	ONU (Organização das Nações Unidas) en: Same as UN (United Nations)  RJ (Rio de Janeiro) en: States in Brazil all have a 2 letter abbreviation that can be used during text or speech.  TRE (Tribunal Regional Eleitoral) en: State court for voting matters. Many government entities are often referred as abbreviations.  IPTU (Imposto sobre a Propriedade Predial e Territorial Urbana) en: Land tax. Most taxes are known only by the abbreviation in Brazil.	Yes	Mari (Mariana) - en: Many first names are often abbreviated. Used as nicknames, more or less used depending on the region. 	Yes	"Av. (Avenida) en: Avenue. Used in text but not in speech R. (Rua) en: Road. Used in text but not in speech Pe. (Padre) en: Priest. Used in text but not in speech Atte / at.te (Atenciosamente) en: ""Kind Regards"". Often used to finish letters or emails. Used in text but not in speech"	Yes	Busão (ônibus) - en: Bus, a long motor-vehicle used often for public transportation 	No		No		No		No	
