url,label
http://tse2.mm.bing.net/th?id=OIP.XTLevBzDxY9UwVda_xKANQHaFl,positive
https://thumb9.shutterstock.com/image-photo/stock-photo-asia-construction-worker-with-blue-print-450w-177384482.jpg,negative
http://ih0.redbubble.net/image.14840876.4646/fc,220x200,white.u3.jpg,negative
https://thumbs.dreamstime.com/t/ambulance-illustration-isolated-white-background-50724535.jpg,positive
https://us.123rf.com/450wm/stockyimages/stockyimages1212/stockyimages121200346/17039057-cheerful-estate-engineer-indicating-sideways-copy-space-concept.jpg,negative
https://cdn.vectorstock.com/i/thumb-large/09/18/80918.jpg,negative
https://media.npr.org/assets/img/2012/05/31/ersign_wide-62f9b8d14353f6f44da0f8053a1885677b465c8e-s2-c25.jpg,positive
https://thumbs.dreamstime.com/t/svg-tir%C3%A9-par-la-main-du-vecteur-env-crafteroks-d-ambulance-libre-dossier-de-dxf-logo-silhouette-ic%C3%B4ne-t%C3%A9l%C3%A9chargement-146467663.jpg,positive
https://thumbs.dreamstime.com/t/point-to-lifebuoy-support-find-help-arrow-points-lifesaver-symbol-finding-information-36456314.jpg,negative
https://media.istockphoto.com/videos/silhouette-of-workers-at-construction-site-video-id873617146?s=640x640,negative
https://thumbs.dreamstime.com/m/man-showing-stop-sign-over-white-background-31433925.jpg,negative
https://us.123rf.com/450wm/auremar/auremar1211/auremar121101232/16190455-little-boy-in-a-costume-of-roadworks-employee-behind-a-traffic-sign.jpg,negative
http://ognproject.wdfiles.com/local--files/wiki:decoding-the-data/under_construction.png,negative
https://us.123rf.com/450wm/auremar/auremar1209/auremar120904107/15289504-man-holding-a-spray-gun.jpg?ver=6,negative
https://i.pinimg.com/236x/61/76/9c/61769c4be418efd64b01be9748526eb2--wallpaper-for-iphone-army-wallpaper.jpg,negative
http://st.depositphotos.com/1037778/2398/i/170/depositphotos_23987469-Blurry-paramedics-getting-out-from-ambulance-car.jpg,positive
https://www.moorhelp.co.uk/wp-content/uploads/2018/07/first-aid.jpg,positive
http://st.depositphotos.com/1005805/1540/v/170/depositphotos_15405919-Lifebuoy-vector-illustration.jpg,negative
http://genxfinance.com/wp-content/uploads/2010/08/emergency-150x150.jpg,negative
https://us.123rf.com/450wm/shtanzman/shtanzman1202/shtanzman120200002/12155760-3d-lifebuoy-on-a-white-background.jpg,negative
https://thumbs.dreamstime.com/t/silhouette-crane-working-building-28477765.jpg,no image
https://i.pinimg.com/236x/3a/de/9a/3ade9a005b43377f2c9f057f5f337eef.jpg,positive
https://static3.bigstockphoto.com/thumbs/4/2/1/large2/1242612.jpg,negative
https://thumbs.dreamstime.com/t/woman-safety-vest-16027507.jpg,negative
https://image.shutterstock.com/image-photo/construction-worker-holding-stop-sign-260nw-2584486.jpg,negative
https://thumbs.dreamstime.com/t/ambulance-11807717.jpg,positive
https://thumbs.dreamstime.com/t/confident-worker-wearing-hard-hat-25047546.jpg,negative
https://cdn.shopify.com/s/files/1/0261/6822/9954/products/1212_1024x1024@2x.jpg?v=1598461311,positive
http://partycity4.scene7.com/is/image/PartyCity/61688?wid=300,negative
