url,label
http://st.depositphotos.com/2078857/2314/i/110/depositphotos_23144314-A-bunch-of-colorful-birthday-candles.jpg,negative
https://i.pinimg.com/736x/8d/f3/0f/8df30f24261f742e4f6cdf157b7251d9.jpg,positive
http://st.depositphotos.com/2078857/2314/i/110/depositphotos_23144314-Bunch-of-colorful-birthday-candles.jpg,negative
https://media.istockphoto.com/photos/birthday-candles-on-a-cake-picture-id889089836?k=6&m=889089836&s=612x612&w=0&h=CcOgLFct3NhNpUnR-GlUK-D2eQrL-ZYG6U1XybBPMcc=,negative
https://www.oncewed.com/wp-content/uploads/2011/12/DIY-wedding-christmas-candles-simple-easy-candleholder-idea.jpg,negative
https://cdn.shopify.com/s/files/1/0917/2142/products/Wild_Cotton_800px_015_1e703bf1-c47b-456b-8e06-1f6a54603e67_300x300.jpg?v=1542631819,positive
https://t2.ftcdn.net/jpg/00/61/68/07/160_F_61680708_TKm0VmhbgM8xBi3QdW15znkPHgIVigs2.jpg,negative
https://i.pinimg.com/236x/46/62/1e/46621e156a2177fceac6df6325adf523.jpg,positive
https://farm1.static.flickr.com/16/21871610_734da9a89b.jpg,negative
https://thumbs.dreamstime.com/m/close-up-lit-birthday-candles-14458498.jpg,negative
https://www.oncewed.com/wp-content/uploads/2012/12/diy-winter-wedding-candleholder.jpg?9d7bd4,positive
http://cdn.christmaslightsetc.com/images/productdetail/8811/22180-triple-candle-lights-red.jpg?w=555&h=555,negative
https://i.pinimg.com/236x/b6/eb/51/b6eb51556b2f668d58b16324e7586ee5--light-bulb-vase-light-bulb-crafts.jpg,negative
http://images.fineartamerica.com/images-small/soft-kristin-kreet.jpg,negative
https://www.warsztatpiekna.pl/pub/produkty/1489/290/2396_thumb.jpg,negative
http://mlb-s2-p.mlstatic.com/kit-com-4-velas-de-led-decorativas-baterias-inclusas-13705-MLB177486381_3386-O.jpg,negative
http://images.fineartamerica.com/images-small/the-warmth-of-autumn-glow-abstract-andee-photography.jpg,negative
https://i.pinimg.com/236x/09/e5/fd/09e5fdc3dcf57fd3a25427ac0d126cc4--candle-lanterns-candleholders.jpg,no image
http://images.fineartamerica.com/images-small-5/2-autumn-leaves-jenny-rainbow.jpg,negative
https://farm2.staticflickr.com/1682/24526237725_248c382d2f_b.jpg,positive
https://d1wwyfhxuarwk4.cloudfront.net/images/products/confetti_only/old/thumb/634033f6758ab0ada2c3a257738e1a7f689b5.jpg,positive
https://farm2.static.flickr.com/1366/564342542_b8d9051bed_m.jpg,negative
https://thumbs.dreamstime.com/t/fall-11186368.jpg,negative
https://i.pinimg.com/originals/09/f7/fb/09f7fb7ee0ca3f3baad448404b16ab32.jpg,positive
https://sc01.alicdn.com/kf/HTB1oqD3PXXXXXXlaXXXq6xXFXXXo/200674556/HTB1oqD3PXXXXXXlaXXXq6xXFXXXo.jpg,negative
http://ih1.redbubble.net/image.5110277.9020/flat,220x200,075,t.u2.jpg,negative
https://thumbs.dreamstime.com/t/birthday-candles-7294877.jpg,negative
https://i2.wp.com/rachelwolfclean.com/wp-content/uploads/2016/01/6a010535f3a090970c01bb08b1a4a9970d-640wi.png?w=620&ssl=1,positive
https://img0.etsystatic.com/190/0/15717425/il_340x270.1264208018_ah8d.jpg,positive
https://us.123rf.com/450wm/ilijaa/ilijaa1504/ilijaa150400082/39371232-rainy-day-on-the-street-view-through-the-car-window.jpg?ver=6,negative
http://fineartamerica.com/images-square-real-5/multicolored-autumn-leaves-rona-black.jpg,negative
https://i.pinimg.com/236x/7d/64/78/7d647823385ab4a0a9a946a56601f9a7.jpg,positive
