LigandId,DockingScore,Smiles,dG,dGError
0,-8.654,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Cl,-2.995,0.455
1,-8.126,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1ccccc1Cl,8.731,0.462
2,-8.655,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccccc1Cl,3.316,0.448
3,-8.429,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cc(Cl)cc1Cl,-0.07,0.462
4,-8.458,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(Cl)ccc1Cl,3.431,0.449
5,-8.925,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(F)cccc1Cl,-5.422,0.442
6,-8.523,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,7.269,0.444
7,-8.595,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1c(Cl)cccc1Cl,-4.153,0.459
8,-9.131,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,3.537,0.455
9,-8.459,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(Cl)ccc1Cl,1.586,0.458
10,-8.324,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(Cl)cc1Cl,5.724,0.45
11,-8.04,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(Cl)c1,6.914,0.438
12,-9.008,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(F)cccc1Cl,-0.857,0.452
13,-8.449,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,19.081,0.466
14,-8.209,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1c(F)cccc1Cl,0.63,0.462
15,-8.503,Nc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,10.138,0.454
16,-8.445,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Br,-0.645,0.451
17,-8.919,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c(Cl)c1,9.227,0.492
18,-8.919,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cccc1Cl,-8.012,0.452
19,-9.094,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,8.816,0.468
20,-8.363,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,6.265,0.466
21,-8.044,NC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-0.576,0.471
22,-9.034,Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,2.563,0.477
23,-8.277,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1ccc(Cl)cc1Cl,5.222,0.463
24,-8.703,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1c(Cl)cccc1Cl,1.475,0.455
25,-8.427,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1c(Cl)cccc1Br,6.155,0.459
26,-9.073,O=C(Nc1ccnc(NC(=O)C2CC(O)C2)c1)c1c(Cl)cccc1Cl,-1.324,0.465
27,-8.264,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c(Cl)c1,9.788,0.488
28,-8.571,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cc(F)ccc1Cl,-1.945,0.443
29,-8.824,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1,2.782,0.445
30,-8.304,O=Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c(Cl)c1,4.116,0.474
31,-8.083,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,17.112,0.448
32,-8.662,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,4.443,0.445
33,-8.546,Cc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,9.898,0.459
34,-9.192,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1c(Cl)cc(NC(=O)C2CC2)cc1Cl,0.37,0.524
35,-8.164,O=C(Nc1ccnc(NC(=O)C2CCCC2)c1)c1cc(F)ccc1Cl,7.031,0.463
36,-8.35,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1cccc(Cl)c1F,0.608,0.443
37,-8.79,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCC3)c2)c1,5.784,0.456
38,-8.076,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCCC3)c2)c1,4.703,0.48
39,-8.492,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cc(F)ccc1Cl,-2.096,0.451
40,-8.273,Nc1ccc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CCCC3)c2)c1,6.51,0.468
41,-8.091,Nc1c(Cl)cccc1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,16.358,0.459
42,-8.487,O=C(Nc1ccnc(NC(=O)C2CC2Cl)c1)c1ccccc1Cl,-3.244,0.452
43,-8.631,O=C1CC(C(=O)Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)C1,-4.592,0.46
44,-9.345,O=C(Nc1cc(NC(=O)C2CC2)ncc1F)c1c(Cl)cccc1Cl,0.213,0.447
45,-8.521,O=C(Nc1ccnc(NC(=O)C2COC2)c1)c1c(Cl)cccc1Cl,-8.008,0.455
46,-8.243,Nc1cc(NC(=O)c2c(Cl)cc(NC(=O)C3CC3)cc2Cl)ccn1,29.039,0.506
47,-8.585,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCC2)c1,5.734,0.457
48,-8.494,Cc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CCCC2)c1,12.217,0.47
49,-8.475,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1C(F)(F)F,7.772,0.461
50,-9.056,CC(=O)Nc1cc(Cl)c(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,5.208,0.498
51,-8.248,O=C(Nc1ccnc(NC(=O)C2CCC2)c1)c1cccc(Cl)c1F,7.313,0.455
52,-8.082,O=C(Nc1ccnc(NC(=O)C2CCOC2)c1)c1c(Cl)cccc1Cl,1.074,0.465
53,-8.565,CC1(C)CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,1.113,0.469
54,-8.718,CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-0.621,0.461
55,-8.719,O=C(Nc1ccnc(NC(=O)C2CC2(F)F)c1)c1ccccc1Cl,0.38,0.445
56,-9.195,Nc1ccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c(Cl)c1,3.735,0.448
57,-9.135,O=C(Nc1cc(NC(=O)C2CCC2)ncc1F)c1c(Cl)cccc1Cl,2.877,0.459
58,-8.653,O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1ccc(F)cc1Cl,2.244,0.443
59,-8.473,Nc1cccc(C(=O)Nc2ccnc(NC(=O)C3CC3)c2)c1Cl,8.244,0.445
60,-8.1,Nc1ccc(Cl)cc1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,13.372,0.444
61,-8.879,O=C(Nc1ccnc(NC(=O)C2CC2F)c1)c1ccccc1Cl,-3.731,0.444
62,-8.094,COc1cccc(Cl)c1C(=O)Nc1ccnc(NC(=O)C2CC2)c1,4.783,0.459
63,-8.008,CNC(=O)C1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-4.018,0.485
64,-8.864,N#CC1CC1C(=O)Nc1cc(NC(=O)c2c(Cl)cccc2Cl)ccn1,-7.638,0.464
