ligand_id,r_i_docking_score,Smiles,dG bind,dG bind err
549,-8.026525999999999,[H]c1nc([H])c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C3([H])C([H])([H])C3([H])F)c2[H])c([H])c1[H],-1.8028048649362631,0.4498138923669451
54,-8.717698,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])C2([H])C([H])([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2Cl)c1[H],-0.6206305326515178,0.4605386900766982
5500,-9.459071,[H]Oc1c([H])c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C([H])([H])SC([H])(F)F)c2[H])c1[H],-0.0361783081117721,0.465738810341489
5501,-8.665125,[H]c1nc(N([H])c2c([H])c(C([H])([H])[H])nn2C([H])([H])[H])c([H])c(N([H])C(=O)c2c([H])c(N([H])[H])c([H])c([H])c2Cl)c1[H],3.455658303226471,0.4726692530334513
5502,-8.151736999999999,[H]c1nc(N([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(C([H])([H])[H])c2OC([H])([H])[H])c1[H],4.051712194710973,0.4739737510027627
5503,-9.005094,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])C2(F)F)c([H])c(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])[H])c([H])c2F)c1F,3.399057811293204,0.4663925633268279
5504,-8.710452,[H]c1nc(N([H])C(=O)N([H])C2([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c(OC([H])([H])[H])c([H])c([H])c([H])c2C([H])([H])[H])c1[H],11.97897415348723,0.4695077526360662
5505,-8.581544000000001,[H]c1nc(N([H])c2nc(N([H])[H])nc(C([H])([H])[H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2OC([H])([H])[H])c1[H],-0.2106060420251764,0.4845034855847674
5506,-8.062645,[H]c1nc(N([H])c2c([H])c(C([H])([H])[H])nn2C([H])([H])[H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(Cl)c2C([H])([H])[H])c1[H],7.556717604827014,0.4794660872198931
5507,-9.464351,[H]OC([H])([H])c1c([H])c([H])nc(N([H])c2nc([H])c(F)c(N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Br)c2[H])c1[H],-3.003113761744232,0.4758533961852677
5508,-8.787218,[H]OC([H])(c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C([H])([H])C#N)c2[H])c(Cl)c1[H])C([H])([H])[H],4.455197714234714,0.4857093874549487
5509,-8.732883000000001,[H]c1nc(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(Cl)c2C([H])([H])[H])c1F,8.991526448208221,0.4663508379691421
550,-8.257595,[H]c1nc([H])c([H])c(C(=O)N([H])c2c([H])c(N([H])C(=O)C3([H])C([H])([H])C3([H])[H])nc([H])c2F)c1[H],5.304796751605238,0.4300062346046321
5510,-9.131623,[H]c1nc(N([H])C(=O)C([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c(OC([H])([H])[H])c([H])c2Cl)c1F,4.312292044996951,0.4904940448690146
5511,-8.854227999999997,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])OC2([H])[H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])[H])c1F,-7.1351480395684925,0.4585555777868693
5512,-8.765444,[H]OC([H])(c1c([H])c(Cl)c(C(=O)N([H])c2c([H])c([H])nc(N([H])C(=O)C([H])([H])SC([H])([H])[H])c2[H])c(Cl)c1[H])C([H])([H])[H],8.326288504815608,0.4958885894835208
5513,-9.022628,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])C2([H])Cl)c([H])c(N([H])C(=O)c2c([H])c(N([H])[H])c([H])c([H])c2C([H])([H])[H])c1F,1.5237565304163925,0.455652392318847
5514,-8.655811,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])C2([H])C([H])([H])[H])c([H])c(N([H])C(=O)c2c([H])c([H])c([H])c(C([H])([H])[H])c2N([H])[H])c1F,11.267243666629696,0.4639412397073643
5515,-10.03111,[H]Oc1c([H])c([H])c(Cl)c(C(=O)N([H])c2c([H])c(N([H])C(=O)N([H])C3([H])C([H])([H])C3([H])[H])nc([H])c2F)c1[H],-12.97856016682914,0.4599471787702496
5516,-9.631037,[H]c1nc(N([H])C(=O)C2([H])C([H])([H])C2([H])C#N)c([H])c(N([H])C(=O)c2c(F)c([H])c([H])c([H])c2Br)c1F,-2.0926109375838,0.4616066510004432
5517,-8.260114,[H]c1nc(N([H])c2nc(C([H])([H])[H])c(C#N)c([H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2N([H])[H])c1[H],10.907247728028947,0.4794942830580754
5518,-8.876743,[H]c1nc(N([H])c2nc([H])c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])c([H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2C([H])([H])[H])c1[H],-1.061192517280119,0.5248233797435979
5519,-8.484200999999999,[H]c1nc(N([H])c2nc(C([H])([H])[H])c(C#N)c([H])c2[H])c([H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2C([H])([H])[H])c1[H],-2.4142502261616414,0.4845926818504267
