method,elo,p99Low,p99Hi,bpp,label
jpegli-q55-yuv444,1616.2178,1570.1244,1662.3113,0.8969259,jpegli
jpegli-q60-yuv444,1656.4395,1611.1019,1701.7771,0.9633795,jpegli
jpegli-q65-yuv420,1600.8348,1554.3654,1647.3044,0.8748113,jpegli-420
jpegli-q65-yuv444,1738.0724,1695.7542,1780.3906,1.0294482,jpegli
jpegli-q70-yuv420,1692.4553,1648.4811,1736.4296,0.9536687,jpegli-420
jpegli-q70-yuv444,1864.5178,1824.3069,1904.7288,1.1235974,jpegli
jpegli-q75-yuv420,1823.9264,1782.0206,1865.8322,1.0510372,jpegli-420
jpegli-q75-yuv444,2022.0585,1980.5918,2063.5254,1.2274681,jpegli
jpegli-q80-yuv420,1980.5387,1935.376,2025.7014,1.1760391,jpegli-420
jpegli-q80-yuv444,2139.4082,2096.148,2182.6687,1.3745167,jpegli
jpegli-q85-yuv420,2135.3962,2088.1436,2182.6487,1.3613836,jpegli-420
jpegli-q85-yuv444,2293.2693,2247.153,2339.3857,1.5918716,jpegli
jpegli-q90-yuv420,2296.9397,2247.5278,2346.3516,1.6980859,jpegli-420
jpegli-q90-yuv444,2440.6377,2388.387,2492.8887,1.971755,jpegli
jpegli-q95-yuv420,2481.9868,2425.2605,2538.7131,2.4092624,jpegli-420
jpegli-q95-yuv444,2634.0227,2568.278,2699.7676,2.7829142,jpegli
libjpeg-turbo-q55-yuv420,1417.7186,1359.5063,1475.9309,0.890062,libjpeg-turbo
libjpeg-turbo-q60-yuv420,1522.5587,1472.4467,1572.6708,0.954096,libjpeg-turbo
libjpeg-turbo-q65-yuv420,1572.9736,1525.9553,1619.9918,1.0336827,libjpeg-turbo
libjpeg-turbo-q70-yuv420,1685.1305,1642.593,1727.668,1.1296767,libjpeg-turbo
libjpeg-turbo-q75-yuv420,1757.0505,1714.4518,1799.6492,1.2395873,libjpeg-turbo
libjpeg-turbo-q80-yuv422,1989.6469,1946.999,2032.2948,1.5401406,libjpeg-turbo
libjpeg-turbo-q85-yuv422,2150.5596,2107.5012,2193.6177,1.8047833,libjpeg-turbo
libjpeg-turbo-q90-yuv444,2392.5342,2341.0535,2444.015,2.6226315,libjpeg-turbo
libjpeg-turbo-q95-yuv444,2608.0166,2546.6313,2669.4019,3.77433,libjpeg-turbo
mozjpeg-q70-yuv420,1662.126,1619.2194,1705.0326,0.9148541,mozjpeg
mozjpeg-q75-yuv420,1760.7078,1719.5176,1801.898,1.0247205,mozjpeg
mozjpeg-q80-yuv422,1958.4712,1916.8787,2000.0637,1.3579394,mozjpeg
mozjpeg-q85-yuv422,2136.866,2093.9138,2179.818,1.590558,mozjpeg
mozjpeg-q90-yuv444,2360.3062,2312.1338,2408.4785,2.4954896,mozjpeg
mozjpeg-q95-yuv444,2608.612,2546.6934,2670.5308,3.50298,mozjpeg
