methodA,methodB,originalName,answerValue
mozjpeg-q80-yuv422,jpegli-q70-yuv444,1044329,B
mozjpeg-q70-yuv420,libjpeg-turbo-q75-yuv420,792079,A
mozjpeg-q95-yuv444,jpegli-q90-yuv444,1420710,B
mozjpeg-q85-yuv422,libjpeg-turbo-q80-yuv422,pexels-photo-4210863,B
mozjpeg-q70-yuv420,jpegli-q55-yuv444,6292444,B
jpegli-q90-yuv420,jpegli-q70-yuv444,3156482,B
libjpeg-turbo-q85-yuv422,jpegli-q55-yuv444,21169144185_3f7977cb5a_o,B
jpegli-q70-yuv444,jpegli-q60-yuv444,70497,B
jpegli-q65-yuv444,jpegli-q65-yuv420,373965,B
jpegli-q70-yuv420,jpegli-q65-yuv444,pexels-photo-2802032,B
jpegli-q70-yuv420,jpegli-q60-yuv444,2079234,B
libjpeg-turbo-q65-yuv420,jpegli-q80-yuv444,3316926_opo25u,B
libjpeg-turbo-q60-yuv420,jpegli-q80-yuv444,382297,A
mozjpeg-q75-yuv420,libjpeg-turbo-q80-yuv422,70497,A
mozjpeg-q80-yuv422,jpegli-q70-yuv444,164595,B
libjpeg-turbo-q75-yuv420,jpegli-q85-yuv444,3653963,A
jpegli-q75-yuv444,jpegli-q75-yuv420,2775196,B
libjpeg-turbo-q85-yuv422,jpegli-q90-yuv420,2389166,A
jpegli-q85-yuv444,jpegli-q85-yuv420,pexels-photo-2686358,B
libjpeg-turbo-q70-yuv420,libjpeg-turbo-q60-yuv420,373965,B
mozjpeg-q75-yuv420,libjpeg-turbo-q60-yuv420,adriankierman-report-page,B
libjpeg-turbo-q65-yuv420,libjpeg-turbo-q55-yuv420,21169144185_3f7977cb5a_o,B
jpegli-q85-yuv444,jpegli-q75-yuv444,1189261,B
libjpeg-turbo-q80-yuv422,jpegli-q80-yuv444,1189261,B
mozjpeg-q75-yuv420,mozjpeg-q70-yuv420,pexels-photo-2802032,B
libjpeg-turbo-q60-yuv420,jpegli-q70-yuv420,5458393,A
mozjpeg-q70-yuv420,libjpeg-turbo-q90-yuv444,21169144185_3f7977cb5a_o,A
libjpeg-turbo-q85-yuv422,jpegli-q95-yuv444,2736139,A
libjpeg-turbo-q70-yuv420,jpegli-q80-yuv420,382297,A
jpegli-q95-yuv420,jpegli-q90-yuv420,1044329,A
