Yang was born 10 November 1958 in the Wen Qiang village, Cibihu town of Dali, Yunnan province.	1958 年 11 月 10 日，楊出生在雲南省大理白族自治州茈碧湖鎮文強村。
She the eldest of four children.	她在四個孩子中排行老大。
Her parents and grandparents, members of the Bai ethnic minority, were farmers in a nearby village.	她的雙親和祖父母都是少數民㫍白族，在鄰村務農。
Her grandmother was a singer in the village.	她的祖母是村中的歌手。
Yang began her formal dance training at the late age of 11, at a dance troupe in the Xishuangbanna area of Yunnan, after her family moved to the area.	楊的正式舞蹈訓練開始得很晚，11 歲舉家搬到雲南西雙版納後，才加入當地的一個舞團。
In the Southern flatlands of Yunnan, Xishuangbanna borders the country of Burma and is dominated by the Dai ethnic group, whose Peacock dance she would become synonymous with.	西雙版納位在雲南南方的平坦地區，鄰近緬甸，以傣族人口居多；其孔雀舞後來也變成她的招牌。
In her early 20's, after she moved to Beijing to dance with the Central Nationalities Song and Dance Ensemble, she made the peacock dance her own, recasting parts of it with deft arm and finger movements.	她在二十歲出頭時到北京加入中央民族歌舞團，獨自發展出自己的孔雀舞，以其靈巧的手臂與手指動作重現其精華。
In 1986, that choreography and dance won her first prize in a national competition.	1986 年她在一場全國賽上獲得編舞與舞蹈首獎。
She rose to national level fame in 1986 when she won first prize in a national dance competition for her original solo "Spirt of the Peacock" (雀之灵).	1986 年，她在全國舞蹈大賽上，以自創的獨舞「雀之靈」獲得首獎，舉國聞名。
Ever since, she has been dubbed the "Peacock Princess".	之後大家就稱她「孔雀公主」。
She was the director, choreographer and star of "Dynamic Yunnan", a show that drew sellout crowds all over China.	她是中國賣座電影「雲南映象」的導演、編舞家兼演員。
She toured Europe and the United States in 2005.	2005 年，她在歐洲和美國巡迴演出。
Between 2004 and 2008, Yang Liping directed and choreographed a trilogy: "Dynamic Yunnan", "Echoes of Shangri-la" and "Tibetan Myth".	2004 到 2008 年間，楊麗萍擔任「雲南映象」、「雲南的聲響」、「藏謎」三部曲的執導與編舞工作。
In 2004, "Dynamic Yunnan" won five major awards at the National Lotus Awards, including Gold Award for Dance Spectacular, Best Choreography and Best Female Performer.	2004 年，「雲南映象」奪得中國舞蹈荷花獎的五項金質獎，包括最佳舞台效果、最佳編舞與最佳女性舞者。
To create the exotic song and dance spectacular "Dynamic Yunnan", Yang spent years traveling to remote villages of the 26 ethnic minority tribes in Yunnan and selected over 60 peasants who had the natural gift of song and dance, from whom she built an archive re-creating this rich feast of sight and sound.	為了創作出「雲南映象」中異族風的歌曲與舞蹈，楊花了多年走遍雲南 26 個少數民族的偏鄉，集合超過 60 名具有歌舞天份的村人，採集並重新呈現出豐富的視聽饗宴。
In May 2009, she revealed a dance and music production 'Yunnan Sound', at the Yunnan Art Institute's Experimental Theater.	2009 年 5 月，她於雲南藝術學院的實驗劇院中推出音樂舞蹈作品「雲南的響聲」。
On November 17, 2009, US President Barack Obama is visit to China, she performed the classic dance "The Spirit of the Birds" at the Great Hall of the People.	2009 年 11 月 17 日，美國總統歐巴馬訪問中國，她在人民大會堂表演經典舞蹈「雀之靈」。
She is currently a judge on So You Think You Can Dance China.	她目前在「中國好舞蹈」節目擔任評審。
Yang's first husband was a colleague of the Central National Song and Dance Troupe and later divorced.	楊的第一任丈夫是她在中央民族歌舞團的同事，但後來離婚。
The current husband, Liu Yuqing, is a Taiwanese-American.	現任丈夫劉淳晴是台裔美國人。
