Tensor2Tensor HParams,MOSES BLEU,Sparsity,l0_norm_weight,l0_norm_weight_fn,dkl_weight_start,dkl_weight_diff,regularization
sparse_transformer_l0_regularization,24.17,0.753008127213,2.2222222222222222e-7,linear,0,1,dropout+label_smoothing
sparse_transformer_l0_regularization,25.02,0.752149581909,2.2222222222222222e-7,linear,0,1,label_smoothing
sparse_transformer_l0_regularization,24.94,0.70628118515,2.2222222222222222e-7,linear,0,1,none
sparse_transformer_l0_regularization,24.69,0.667552888393,1.5555555555555554e-7,linear,0,1,dropout+label_smoothing
sparse_transformer_l0_regularization,26.06,0.665358841419,1.5555555555555554e-7,linear,0,1,label_smoothing
sparse_transformer_l0_regularization,25.35,0.614201664925,1.5555555555555554e-7,linear,0,1,none
sparse_transformer_l0_regularization,25.58,0.520824074745,8.88888888888889e-8,linear,0,1,dropout+label_smoothing
sparse_transformer_l0_regularization,26.18,0.51523321867,8.88888888888889e-8,linear,0,1,label_smoothing
sparse_transformer_l0_regularization,25.7,0.46072486043,8.88888888888889e-8,linear,0,1,none
sparse_transformer_l0_regularization,27.05,0.141423881054,2.2222222222222224e-8,linear,0,1,dropout+label_smoothing
sparse_transformer_l0_regularization,26.82,0.129782527685,2.2222222222222224e-8,linear,0,1,label_smoothing
sparse_transformer_l0_regularization,24.72,0.08584112674,2.2222222222222224e-8,linear,0,1,none
sparse_transformer_l0_regularization,25.53,0.63953769207,2.2222222222222222e-7,linear,0,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.05,0.624281525612,2.2222222222222222e-7,linear,0,100000,label_smoothing
sparse_transformer_l0_regularization,25.26,0.569949865341,2.2222222222222222e-7,linear,0,100000,none
sparse_transformer_l0_regularization,24.96,0.689902663231,2.2222222222222222e-7,linear,100000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,25.58,0.682471811771,2.2222222222222222e-7,linear,100000,100000,label_smoothing
sparse_transformer_l0_regularization,25.63,0.632902979851,2.2222222222222222e-7,linear,100000,100000,none
sparse_transformer_l0_regularization,26.39,0.463364988565,2.2222222222222222e-7,linear,200000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.74,0.427980601788,2.2222222222222222e-7,linear,200000,100000,label_smoothing
sparse_transformer_l0_regularization,26.19,0.37328478694,2.2222222222222222e-7,linear,200000,100000,none
sparse_transformer_l0_regularization,26.15,0.495804488659,2.2222222222222222e-7,linear,300000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.88,0.45952796936,2.2222222222222222e-7,linear,300000,100000,label_smoothing
sparse_transformer_l0_regularization,25.69,0.404461532831,2.2222222222222222e-7,linear,300000,100000,none
sparse_transformer_l0_regularization,26.82,0.332704752684,2.2222222222222222e-7,linear,400000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.51,0.294369518757,2.2222222222222222e-7,linear,400000,100000,label_smoothing
sparse_transformer_l0_regularization,25.96,0.251484006643,2.2222222222222222e-7,linear,400000,100000,none
sparse_transformer_l0_regularization,26.97,0.360987216234,1.5555555555555554e-7,linear,0,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.27,0.323368698359,1.5555555555555554e-7,linear,0,100000,label_smoothing
sparse_transformer_l0_regularization,25.79,0.275200337172,1.5555555555555554e-7,linear,0,100000,none
sparse_transformer_l0_regularization,26.74,0.203664273024,1.5555555555555554e-7,linear,100000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.07,0.176796123385,1.5555555555555554e-7,linear,100000,100000,label_smoothing
sparse_transformer_l0_regularization,25.74,0.146485358477,1.5555555555555554e-7,linear,100000,100000,none
sparse_transformer_l0_regularization,26.95,0.233774125576,1.5555555555555554e-7,linear,200000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.82,0.202688887715,1.5555555555555554e-7,linear,200000,100000,label_smoothing
sparse_transformer_l0_regularization,25.7,0.169655829668,1.5555555555555554e-7,linear,200000,100000,none
sparse_transformer_l0_regularization,27.05,0.0442876629531,1.5555555555555554e-7,linear,300000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.59,0.0311741046607,1.5555555555555554e-7,linear,300000,100000,label_smoothing
sparse_transformer_l0_regularization,25.36,0.0202543400228,1.5555555555555554e-7,linear,300000,100000,none
sparse_transformer_l0_regularization,27.01,0.0890269652009,1.5555555555555554e-7,linear,400000,100000,dropout+label_smoothing
sparse_transformer_l0_regularization,26.48,0.0718571841717,1.5555555555555554e-7,linear,400000,100000,label_smoothing
