A June 2017 NRA video entitled "The Clenched Fist of Truth" used an image of "The Bean" sculpture.	2017 年 6 月，一段標題為「緊握的真理之拳」的 NRA 影片使用了《豆子》雕塑品的影像。
Anish Kapoor sued the NRA to stop running the video, pay any profits gained as a result of the video, compensate him for statutory damages equivalent to $150,000 per infringement, and attorney fees.	安尼施·卡普爾要求 NRA 停止播放影片、支付因為影片所獲得的任何利潤、向他補償等同於每次侵權 150,000 美元的法定損害賠償，以及律師費。
The first results of the polls from the reader participation project appeared in the form of the first three short stories which resulted from direct fan involvement in the March 2004 issue of Dengeki G's Magazine.	從讀者參與專案票選得出的首批結果，以《電擊 G's 雜誌》2004 年 3 月號的直接粉絲參與所產生的前三則短篇故事形式呈現。
The stories were written by Sakurako Kimino and illustrated by Chitose Maki.	這些故事是由公野櫻子所寫，並由真城千都世加上插畫。
Over the following months, the stories continued, producing the first story arc named the Etoile Chapter (エトワール編 Etowāru-hen) containing eighteen stories which ran between March and July 2004.	故事在之後的幾個月間延續，產生名為《Etoile 之章》(エトワール編 Etowāru-hen) 的第一個故事架構，其中包含在 2004 年 3 月到 7 月間刊登的十八則情節。
Due to the concerns that there was not enough time between the Athletic Festival (an early summer event) and the Cultural Festival (an autumn event), the second, and last, story arc named the Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen) containing seven stories began the next month, running between August 2004 and January 2005.	因為擔心國民體育大會 (夏初活動) 和文化祭 (秋季活動) 之間的時間不足，第二個 (也是最後一個) 含有七則情節且名為《宿舍恐慌之章》(寄宿舎パニック編 Kishukusha Panikku-hen) 的故事架構次月才開始，在 2004 年 8 月到 2005 年 1 月之間刊登。
The second arc's stories, which were longer than the earlier pieces, involved taking one of the three main characters, performing coupling for them with one of the other eleven girls and presenting them in various situations.	第二個架構的故事比先前的作品更長，其中擷取了三個主角之一，將他們與其他十一個女孩之一進行配對，並在不同的情境中介紹她們。
None of the original stories were ever published again in bound volumes.	其中沒有任何原創故事曾經再次以合訂本發行。
The stories themselves were more or less vignettes, in which each gave a brief glimpse into what was referred to as a "yuri coupling".	故事本身多少都有小插曲，其中每個小插曲都讓人簡短一窺「百合配對」所指為何。
Between May and September 2005, a revised series of the short stories was produced; once per month, five more supplementary short stories were published during this time period, each of which was longer than any of the previous pieces.	2005 年 5 月到 9 月之間創作了短篇故事的修訂系列；這段期間 (每個月一次) 發行了五則額外的補充短篇故事，而且每個都比先前任一作品都長。
Although each individual story had its own title, the stories were under the collective title of "The Girls, who art in heaven".	雖然每個單獨的故事都有自己的標題，但故事都歸在「女孩，讓天堂充滿藝術」的共同標題之下。
After the ending of this short compilation in September 2005, it was decided that the original illustrator, Chitose Maki, would be replaced by Namuchi Takumi for future Strawberry Panic!	這個短總集在 2005 年 9 月結束之後，日後的《草莓狂熱！》專案就決定以巧奈夢智取代原始插畫家真城千都世
The show was hosted by Mai Nakahara, who voiced Nagisa Aoi in the anime edition, and Ai Shimizu, who voiced both Tamao Suzumi and Kizuna Hyūga in the anime.	節目由動畫版本中為蒼井渚砂配音的麻衣，以及在動畫中同時為涼水玉青和日向絆奈配音的清水愛主持。
The show contained sixty-one episodes, which were divided between three CDs; the first went on sale on March 8, 2006.	節目包含六十一集，分成三片 CD；第一片在 2006 年 3 月 8 日開始發售。
The other two releases came out on July 5, 2006, and January 11, 2007, in Japan.	其他兩個版本在 2006 年 7 月 5 日和 2007 年 1 月 11 日於日本發行。
The radio show included nine guests who had played other voice acting roles in the anime version, and Rino, singer of the opening theme "Sweetest" in the PlayStation 2 game version.	這個廣播節目包括在動畫版本中扮演過其他配音角色的九位來賓，以及 PlayStation 2 遊戲版本開場主題曲《最甜蜜》的歌手 Rino。
The Strawberry Panic!	《草莓狂熱！》
manga, written by Sakurako Kimino and illustrated by Namuchi Takumi, was serialized in Dengeki G's Magazine between September 30, 2005, and February 28, 2007, with a new chapter released once a month.	漫畫由公野櫻子所編寫，並由巧奈夢智加上插畫，在 2005 年 9 月 30 日到 2007 年 2 月 28 日之間於《電擊 G's 雜誌》上連載，每個月發行一個新的章節。
Two bound volumes have been published in Japan under MediaWorks' Dengeki Comics label.	在日本曾以 MediaWorks 的 Dengeki Comics 商標發行兩本合訂本。
The first went on sale on March 27, 2006, featuring Nagisa and Shizuma on the cover, and the second volume came out on October 27, 2006, featuring Nagisa and Tamao on the cover.	第一本在 2006 年 3 月 27 日發售，封面主打渚砂和靜馬，第二本則在 2006 年 10 月 27 日推出，封面主打渚砂和玉青。
The education system is monitored by the District Education Officer (EDO) of the City District Government of Faisalabad.	由費薩拉巴德 (Faisalabad) 市區政府的區教育長 (EDO) 負責監督教育系統。
The city government reports its findings to the Ministry of Federal Education and Professional Training and the Minister for Education.	市政府向 Ministry of Federal Education and Professional Training (巴基斯坦教育與職業訓練部) 及 Minister for Education (教育部長) 報告其調查結果。
Funding is provided by the Government of Punjab, Pakistan, City District Government and the fees collected from schools.	由 Punjab、巴基斯坦、市區政府及學校募集的費用提供資金。
There are four levels of the education system in the city: Primary, Elementary, High and Higher Secondary Level.	該市的教育系統分為四級：小學、中學、高中及高等教育。
Primary level education is only compulsory.	小學是義務教育。
There are a number of schools for the assistance of children with special needs.	有數所學校協助有特殊需求的兒童。
The Pakistan Electronic Media Regulatory Authority (PEMRA) is responsible for the regulation and monitoring of electronic media entertainment in the country.	巴基斯坦電子媒體監管局 (Pakistan Electronic Media Regulatory Authority, PEMRA) 負責監管和監控該國的電子媒體娛樂。
Pakistan Television Corporation, is the state-owned regulated television broadcasting network.	巴基斯坦電視公司 (Pakistan Television Corporation) 是國營企業且由國家監管的電視廣播網路。
The government began licensing private broadcasters in 2002.	該國政府於 2002 年開始發執照給廣播公司。
