A June 2017 NRA video entitled "The Clenched Fist of Truth" used an image of "The Bean" sculpture.	2017 年 6 月，NRA 的一段叫做“紧握真相的拳头”的视频使用了“豆子”雕塑图。
Anish Kapoor sued the NRA to stop running the video, pay any profits gained as a result of the video, compensate him for statutory damages equivalent to $150,000 per infringement, and attorney fees.	Anish Kapoor 起诉 NRA，要求其停止播放该视频，支付因该视频而获取的任何利润，向他赔偿相当于每次侵权 150,000 美元的法定赔偿金以及律师费。
The first results of the polls from the reader participation project appeared in the form of the first three short stories which resulted from direct fan involvement in the March 2004 issue of Dengeki G's Magazine.	读者参与项目的首轮投票结果以前三篇短篇故事的形式出现，这三篇短篇故事是粉丝直接参与 2004 年 3 月这期 Dengeki G's Magazine 的结果。
The stories were written by Sakurako Kimino and illustrated by Chitose Maki.	这些故事由 Sakurako Kimino 撰写，由 Chitose Maki 绘制插图。
Over the following months, the stories continued, producing the first story arc named the Etoile Chapter (エトワール編 Etowāru-hen) containing eighteen stories which ran between March and July 2004.	在接下来的几个月里，随着故事的继续进行，产生了第一条叫做 Etoile Chapter (エトワール編 Etowāru-hen) 的故事线，其中包含 2004 年 3 月至 7 月之间发生的 18 个故事。
Due to the concerns that there was not enough time between the Athletic Festival (an early summer event) and the Cultural Festival (an autumn event), the second, and last, story arc named the Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen) containing seven stories began the next month, running between August 2004 and January 2005.	由于担心运动节（初夏的活动）和文化节（秋季的活动）之间的时间不够，第二条也是最后一条叫做 Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen) 的故事线在次月开始，时间跨度为 2004 年 8 月至 2005 年 1 月。
The second arc's stories, which were longer than the earlier pieces, involved taking one of the three main characters, performing coupling for them with one of the other eleven girls and presenting them in various situations.	第二条线的故事比早期作品长，涉及三个主要人物之一，为他们与其他 11 个女孩中的一个配对，并在各种情况下展示他们。
None of the original stories were ever published again in bound volumes.	原先的故事都没有再装订成册出版。
The stories themselves were more or less vignettes, in which each gave a brief glimpse into what was referred to as a "yuri coupling".	这些故事本身或多或少是些花絮，其中每个故事都对所谓的“yuri 配对”进行了简短介绍。
Between May and September 2005, a revised series of the short stories was produced; once per month, five more supplementary short stories were published during this time period, each of which was longer than any of the previous pieces.	在 2005 年 5 月至 9 月，制作了短篇故事修订系列；在此期间，每月再出版 5 篇补充性的短篇故事，每篇都比以前的任何作品长。
Although each individual story had its own title, the stories were under the collective title of "The Girls, who art in heaven".	尽管每个单独的故事都有自己的标题，但这些故事都在“徜徉于天堂艺术的女孩”的总标题之下。
After the ending of this short compilation in September 2005, it was decided that the original illustrator, Chitose Maki, would be replaced by Namuchi Takumi for future Strawberry Panic!	在 2005 年 9 月这次短篇编纂结束后，决定在未来的 Strawberry Panic! 项目中，由 Namuchi Takumi 取代原来的插画师 Chitose Maki。
The show was hosted by Mai Nakahara, who voiced Nagisa Aoi in the anime edition, and Ai Shimizu, who voiced both Tamao Suzumi and Kizuna Hyūga in the anime.	该节目由在动画版中为 Nagisa Aoi 配音的 Mai Nakahara 和在动画中为 Tamao Suzumi 和 Kizuna Hyūga 配音的 Tamao Suzumi 主持。
The show contained sixty-one episodes, which were divided between three CDs; the first went on sale on March 8, 2006.	该剧有 61 集，分为三张 CD；第一张于 2006 年 3 月 8 日发售。
The other two releases came out on July 5, 2006, and January 11, 2007, in Japan.	其他两个版本于 2006 年 7 月 5 日和 2007 年 1 月 11 日在日本上市。
The radio show included nine guests who had played other voice acting roles in the anime version, and Rino, singer of the opening theme "Sweetest" in the PlayStation 2 game version.	这个广播节目包括九位曾在动漫版中饰演其他配音角色的嘉宾，以及 PlayStation 2 游戏版中开场主题“Sweetest”的演唱者 Rino。
The Strawberry Panic!	Strawberry Panic!
manga, written by Sakurako Kimino and illustrated by Namuchi Takumi, was serialized in Dengeki G's Magazine between September 30, 2005, and February 28, 2007, with a new chapter released once a month.	是由 Sakurako Kimino 创作的漫画，由 Namuchi Takumi 绘制插图，于 2005 年 9 月 30 日至 2007 年 2 月 28 日在 Dengeki G's Magazine 上连载，每月发布新的一章。
Two bound volumes have been published in Japan under MediaWorks' Dengeki Comics label.	这两册合订本以 MediaWorks' Dengeki Comics 标签在日本出版。
The first went on sale on March 27, 2006, featuring Nagisa and Shizuma on the cover, and the second volume came out on October 27, 2006, featuring Nagisa and Tamao on the cover.	第一册于 2006 年 3 月 27 日发售，封面是 Nagisa 和 Shizuma，第二册于 2006 年 10 月 27 日发售，封面是 Nagisa 和 Tamao。
The education system is monitored by the District Education Officer (EDO) of the City District Government of Faisalabad.	教育系统由 Faisalabad 市区政府的地区教育官 (EDO) 监督。
The city government reports its findings to the Ministry of Federal Education and Professional Training and the Minister for Education.	市政府向联邦教育和专业培训部及教育部长报告其调查结果。
Funding is provided by the Government of Punjab, Pakistan, City District Government and the fees collected from schools.	资金由巴基斯坦旁遮普省政府、市区政府和向学校收取的费用提供。
There are four levels of the education system in the city: Primary, Elementary, High and Higher Secondary Level.	该市的教育系统分为四个阶段：小学、中学、高中和高级中学水平。
Primary level education is only compulsory.	小学阶段的教育只是义务教育。
There are a number of schools for the assistance of children with special needs.	有些学校用于帮助有特殊需要的儿童。
The Pakistan Electronic Media Regulatory Authority (PEMRA) is responsible for the regulation and monitoring of electronic media entertainment in the country.	巴基斯坦电子媒体监管局 (PEMRA) 负责管理和监督该国的电子媒体娱乐。
Pakistan Television Corporation, is the state-owned regulated television broadcasting network.	巴基斯坦电视公司是受监管的国有电视广播网络。
The government began licensing private broadcasters in 2002.	政府于 2002 年开始向私营广播公司发放许可证。
The government of Pakistan installed the first radio transmitters in the city on 15 September 1982.	1982 年 9 月 15 日，巴基斯坦政府在该市安装了第一批无线电发射器。
"Radio Pakistan" broadcasts three government regulated FM stations: "Radio Pakistan FM101, Radio Pakistan FM93 and Radio Pakistan Sautul Qur'an Channel FM93.4. FM101 became operational in 2002, FM93 went live in 2010 and FM93.4 Sautul Qur'an Channel went live in 2016; PBC all three stations are standard power KW 2.5.	“巴基斯坦电台”播送三个由政府监管的 FM 电台：巴基斯坦电台 FM101、巴基斯坦电台 FM93 和巴基斯坦电台 Sautul Qur'an 频道 FM93.4。FM101 于 2002 年开通，FM93 于 2010 年上线，FM93.4 Sautul Qur'an 频道于 2016 年上线；PBC 所有三个电台都是标准功率 KW 2.5。
Pakistan Telecommunication Authority is a government-owned organisation that is responsible for the establishment, operation and maintenance of telecommunications in the city.	巴基斯坦电信局是一个政府所有的组织，负责城市电信的建立、运营和维护。
The organisation monitors and prevents illegal exchanges in the city.	该组织监督和防止城市中的非法交换。
Pakistan Telecommunication Company Limited is the main provider of fixed line, mobile and broadband services.	巴基斯坦电信有限公司是固定线路、移动和宽带服务的主要供应商。
Regional headquarters is located at the Central Telecom House in Chinot Bazaar.	地区总部位于 Chinot Bazaar 的中央电信大楼。
With the deregulation of the telecommunication sector by the Ministry of Information Technology, a range of companies now offer mobile and broadband services in the city.	随着信息技术部放松对电信部门的管制，现在该市有多家公司提供移动和宽带服务。
In 2008, the Government of Pakistan lifted a forty-year ban on Bollywood films which allowed Indian films to be played in cinemas.	2008 年，巴基斯坦政府解除了对宝莱坞电影长达四十年的禁令，允许电影院播放印度电影。
