A June 2017 NRA video entitled "The Clenched Fist of Truth" used an image of "The Bean" sculpture.	2017 年 6 月，一段标题为「紧握的真理之拳」的 NRA 影片使用了《豆子》雕塑品的影像。
Anish Kapoor sued the NRA to stop running the video, pay any profits gained as a result of the video, compensate him for statutory damages equivalent to $150,000 per infringement, and attorney fees.	安尼施·卡普尔要求 NRA 停止播放影片、支付因为影片所获得的任何利润、向他补偿等同于每次侵权 150,000 美元的法定损害赔偿，以及律师费。
The first results of the polls from the reader participation project appeared in the form of the first three short stories which resulted from direct fan involvement in the March 2004 issue of Dengeki G's Magazine.	从读者参与专案票选得出的首批结果，以《电击 G's 杂志》2004 年 3 月号的直接粉丝参与所产生的前三则短篇故事形式呈现。
The stories were written by Sakurako Kimino and illustrated by Chitose Maki.	这些故事是由公野樱子所写，并由真城千都世加上插画。
Over the following months, the stories continued, producing the first story arc named the Etoile Chapter (エトワール編 Etowāru-hen) containing eighteen stories which ran between March and July 2004.	故事在之后的几个月间延续，产生名为《Etoile 之章》(エトワール编 Etowāru-hen) 的第一个故事架构，其中包含在 2004 年 3 月到 7 月间刊登的十八则情节。
Due to the concerns that there was not enough time between the Athletic Festival (an early summer event) and the Cultural Festival (an autumn event), the second, and last, story arc named the Dormitory Panic Chapter (寄宿舎パニック編 Kishukusha Panikku-hen) containing seven stories began the next month, running between August 2004 and January 2005.	因为担心国民体育大会 (夏初活动) 和文化祭 (秋季活动) 之间的时间不足，第二个 (也是最后一个) 含有七则情节且名为《宿舍恐慌之章》(寄宿舎パニック编 Kishukusha Panikku-hen) 的故事架构次月才开始，在 2004 年 8 月到 2005 年 1 月之间刊登。
The second arc's stories, which were longer than the earlier pieces, involved taking one of the three main characters, performing coupling for them with one of the other eleven girls and presenting them in various situations.	第二个架构的故事比先前的作品更长，其中撷取了三个主角之一，将他们与其他十一个女孩之一进行配对，并在不同的情境中介绍她们。
None of the original stories were ever published again in bound volumes.	其中没有任何原创故事曾经再次以合订本发行。
The stories themselves were more or less vignettes, in which each gave a brief glimpse into what was referred to as a "yuri coupling".	故事本身多少都有小插曲，其中每个小插曲都让人简短一窥「百合配对」所指为何。
Between May and September 2005, a revised series of the short stories was produced; once per month, five more supplementary short stories were published during this time period, each of which was longer than any of the previous pieces.	2005 年 5 月到 9 月之间创作了短篇故事的修订系列；这段期间 (每个月一次) 发行了五则额外的补充短篇故事，而且每个都比先前任一作品都长。
Although each individual story had its own title, the stories were under the collective title of "The Girls, who art in heaven".	虽然每个单独的故事都有自己的标题，但故事都归在「女孩，让天堂充满艺术」的共同标题之下。
After the ending of this short compilation in September 2005, it was decided that the original illustrator, Chitose Maki, would be replaced by Namuchi Takumi for future Strawberry Panic!	这个短总集在 2005 年 9 月结束之后，日后的《草莓狂热！ 》专案就决定以巧奈梦智取代原始插画家真城千都世
